Team,Rsh TD,Rec TD,Tot TD,2-PT
Dolphins,8,9,17,0
Ravens,6,2,8,1
49ers,5,4,9,0
Bills,4,5,10,0
Colts,4,3,7,0
Rams,4,2,6,0
Eagles,4,3,8,0
Cardinals,4,2,6,1
Seahawks,4,4,9,1
Falcons,3,2,5,0
Browns,3,4,7,3
Cowboys,3,3,8,1
Lions,3,5,9,0
Jaguars,3,3,6,0
Giants,3,2,5,0
Chargers,3,7,10,1
Commanders,3,3,6,1
Bears,2,3,5,1
Packers,2,7,10,1
Titans,2,1,3,0
Chiefs,2,7,9,0
Saints,2,2,5,0
Panthers,1,4,5,1
Bengals,1,2,4,0
Broncos,1,6,8,0
Texans,1,4,6,0
Patriots,1,5,6,0
Jets,1,2,4,0
Buccaneers,1,4,6,1
Raiders,0,5,5,1
Vikings,0,9,9,0
Steelers,0,4,5,0
