Team,Att,Cmp,Cmp %,Yds/Att,Pass Yds,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,SckY
Vikings,138,96,69.6,7.8,1075,9,2,108.2,49,35.5,17,3,62T,8,56
Panthers,129,76,58.9,5.1,660,4,2,76.4,34,26.4,6,1,47T,9,60
Rams,126,76,60.3,7.2,910,2,4,74.5,46,36.5,12,2,46,7,58
Patriots,125,81,64.8,6,748,5,2,87.7,37,29.6,3,1,58T,6,41
Bengals,122,67,54.9,4.6,563,2,2,65.7,28,23,4,1,43,5,38
Chargers,122,91,74.6,8.1,988,7,0,117.1,46,37.7,16,2,49T,7,62
Texans,121,78,64.5,7.5,906,4,0,98,42,34.7,11,2,68T,11,93
Chiefs,118,77,65.2,7.1,834,7,4,91.6,38,32.2,10,1,54,1,7
Colts,116,76,65.5,5.8,677,3,1,86,34,29.3,7,1,43T,9,47
Jaguars,116,76,65.5,6.4,744,3,2,84.8,37,31.9,8,1,45,6,22
Bills,110,80,72.7,6.6,728,5,4,90.3,38,34.6,7,1,40,7,26
Broncos,104,68,65.4,7.6,791,6,2,99.5,32,30.8,11,4,60T,10,54
Saints,104,68,65.4,7.2,745,2,2,84.8,32,30.8,10,4,45,12,81
Steelers,104,62,59.6,6.6,689,4,3,80.2,25,24,8,2,72T,8,63
Cowboys,103,69,67,6.3,647,3,1,89.8,35,34,8,1,49,3,25
Lions,103,72,69.9,8,819,5,2,101.6,39,37.9,13,1,45T,3,10
Dolphins,103,74,71.8,10.6,1091,9,2,127.1,54,52.4,14,3,68,1,5
Seahawks,103,71,68.9,7.2,736,4,1,98.2,39,37.9,8,0,36,5,51
Browns,102,65,63.7,6.6,678,4,2,87.8,33,32.4,7,1,43T,12,61
Giants,100,65,65,5.7,568,2,4,69.9,26,26,6,1,58,12,72
Commanders,99,65,65.7,6.8,671,3,5,74.1,29,29.3,8,0,37,19,124
Packers,96,51,53.1,6.8,655,7,1,94.8,33,34.4,8,1,51,3,33
Raiders,94,64,68.1,7.5,709,5,6,81.4,33,35.1,6,0,32T,4,31
Eagles,93,63,67.7,6.9,640,3,3,84.5,25,26.9,8,2,63T,8,44
Buccaneers,93,62,66.7,6.8,636,4,1,96,29,31.2,9,1,70,3,17
49ers,91,61,67,8.1,736,4,0,106.3,37,40.7,11,1,40,6,27
Falcons,88,55,62.5,6.3,553,2,1,83.2,25,28.4,7,1,45,12,88
Bears,88,51,58,6,526,3,4,67.7,26,29.6,8,0,33,13,81
Ravens,86,63,73.3,7.1,608,2,1,95.5,27,31.4,8,1,52,8,38
Jets,85,44,51.8,5.5,467,2,4,56.4,19,22.4,6,1,68T,9,66
Titans,83,49,59,6.6,548,1,3,67.8,22,26.5,8,3,70,13,99
Cardinals,82,59,72,6.7,549,2,0,98.1,28,34.2,6,1,69,5,29
