Team,FR TD,SFTY,INT TD
Panthers,3,2,0
Eagles,3,1,1
Bears,2,1,1
Patriots,2,1,2
Steelers,2,0,3
Bills,1,0,0
Bengals,1,0,2
Cowboys,1,0,0
Lions,1,0,2
Chiefs,1,1,0
Raiders,1,2,2
Saints,1,0,0
Giants,1,2,3
Jets,1,0,2
Cardinals,1,0,1
49ers,1,4,1
Redskins,1,0,1
Falcons,0,0,0
Ravens,0,0,1
Broncos,0,0,1
Packers,0,1,3
Oilers,0,2,1
Colts,0,1,4
Jaguars,0,0,0
Rams,0,1,4
Dolphins,0,1,3
Vikings,0,0,1
Chargers,0,0,1
Seahawks,0,0,1
Buccaneers,0,0,0
