Team,Att,Rush Yds,YPC,TD,Rush 1st,Rush 1st%
Bills,495,1669,3.4,12,94,19
Broncos,345,1331,3.9,5,67,19.4
Steelers,411,1415,3.4,7,80,19.5
Panthers,374,1562,4.2,6,69,18.4
Eagles,421,1583,3.8,12,87,20.7
Chiefs,441,1666,3.8,11,84,19
Giants,487,1748,3.6,14,98,20.1
Bengals,444,1643,3.7,15,109,24.6
Cowboys,437,1576,3.6,10,89,20.4
Oilers,397,1385,3.5,5,78,19.6
Bears,427,1617,3.8,13,87,20.4
Buccaneers,438,1889,4.3,13,114,26
Redskins,520,2275,4.4,20,146,28.1
Packers,400,1416,3.5,7,74,18.5
Dolphins,411,1536,3.7,10,91,22.1
Raiders,463,1676,3.6,7,97,21
49ers,418,1497,3.6,4,76,18.2
Rams,478,1854,3.9,22,114,23.8
Seahawks,506,2098,4.2,15,114,22.5
Vikings,445,1966,4.4,15,117,26.3
Jaguars,447,1781,4,9,110,24.6
Patriots,434,1502,3.5,14,102,23.5
Colts,459,1760,3.8,12,108,23.5
Ravens,508,1920,3.8,18,115,22.6
Chargers,431,1755,4.1,10,92,21.4
Jets,539,2200,4.1,19,119,22.1
Cardinals,514,1862,3.6,18,120,23.4
Lions,510,2007,3.9,12,126,24.7
Saints,521,2076,4,11,104,20
Falcons,473,2041,4.3,18,102,21.6
