Team,3rd Att,3rd Md,4th Att,4th Md,Rush 1st,Rush 1st%,Scrm Plys
Eagles,232,88,12,3,88,18.6,1113
Raiders,221,85,9,4,95,19.8,1041
Texans,218,74,17,6,89,21.2,1077
Giants,200,72,10,4,112,25.6,1007
Jets,219,99,4,0,74,18.8,976
Bills,220,73,11,5,89,21.5,1027
Cardinals,215,81,13,5,77,19.4,1010
Lions,207,77,15,6,59,16.9,984
Panthers,210,89,11,5,91,22.9,999
Patriots,209,84,23,8,88,21,1033
Colts,201,67,17,4,103,24.4,1007
Jaguars,236,101,10,4,107,21.4,1085
Chargers,207,89,10,2,98,22.4,988
Broncos,222,81,17,10,60,17.2,1031
Niners,203,88,14,7,83,20.6,989
Seahawks,202,75,14,8,70,18.4,924
Bengals,215,79,19,10,105,23.9,1067
Vikings,217,90,14,9,100,22.2,1025
Falcons,203,95,8,4,108,24,1038
Steelers,189,71,14,10,88,23.9,944
Bears,201,85,19,12,78,18.5,1008
Browns,239,90,18,11,126,25.2,1118
Ravens,221,89,14,5,75,19.2,1034
Saints,215,99,8,4,111,25.1,1022
Buccaneers,213,93,9,5,103,22,1067
Cowboys,204,89,20,10,86,21.9,978
Chiefs,216,79,21,8,108,24.9,1024
Dolphins,223,98,22,13,99,21.8,1029
Packers,206,83,28,15,116,25.8,1054
Redskins,207,89,9,5,77,18.3,976
Titans,227,94,11,5,119,23.1,1099
Rams,213,82,10,0,83,19.5,1005
