Team,Att,Rush Yds,YPC,TD,Rush 1st,Rush 1st%
Texans,420,1681,4,6,89,21.2
Seahawks,380,1304,3.4,8,70,18.4
Cowboys,392,1650,4.2,18,86,21.9
Jets,393,1489,3.8,10,74,18.8
Bengals,439,1861,4.2,16,105,23.9
Browns,500,2265,4.5,13,126,25.2
Eagles,473,1771,3.7,14,88,18.6
Panthers,397,1792,4.5,14,91,22.9
Niners,402,1612,4,7,83,20.6
Giants,438,2162,4.9,15,112,25.6
Ravens,390,1412,3.6,8,75,19.2
Broncos,349,1276,3.7,9,60,17.2
Patriots,419,1669,4,6,88,21
Packers,449,1919,4.3,11,116,25.8
Steelers,368,1605,4.4,9,88,23.9
Chiefs,433,2036,4.7,4,108,24.9
Colts,423,1814,4.3,14,103,24.4
Vikings,450,1943,4.3,10,100,22.2
Saints,442,2125,4.8,17,111,25.1
Bills,414,1703,4.1,10,89,21.5
Redskins,421,1722,4.1,11,77,18.3
Dolphins,453,1937,4.3,13,99,21.8
Chargers,438,1986,4.5,11,98,22.4
Cardinals,396,1739,4.4,9,77,19.4
Lions,350,1109,3.2,8,59,16.9
Rams,425,1765,4.2,12,83,19.5
Falcons,450,1894,4.2,21,108,24
Jaguars,499,2033,4.1,15,107,21.4
Titans,515,2195,4.3,17,119,23.1
Bears,421,1803,4.3,12,78,18.5
Buccaneers,468,1819,3.9,15,103,22
Raiders,481,1911,4,17,95,19.8
