Team,FGM,Att,FG %,1-19 > A-M,20-29 > A-M,30-39 > A-M,40-49 > A-M,50-59 > A-M,60+ > A-M,Lng,FG Blk
Broncos,31,36,86.1,0_0,11_11,8_8,13_10,0_0,0_0,50,1
Ravens,30,35,85.7,0_0,16_16,10_9,9_5,0_0,0_0,49,0
Steelers,30,44,68.2,0_0,7_7,20_15,15_6,0_0,0_0,55,0
Chargers,30,43,69.8,0_0,19_17,12_7,9_5,0_0,0_0,51,0
Falcons,29,37,78.4,1_1,8_8,15_14,9_4,0_0,0_0,55,1
Colts,28,34,82.4,0_0,8_7,6_6,16_12,0_0,0_0,52,2
Buccaneers,28,35,80,0_0,12_11,10_10,10_7,0_0,0_0,49,0
Chiefs,27,35,77.1,0_0,11_9,10_9,12_8,0_0,0_0,51,0
Saints,27,31,87.1,0_0,7_7,11_11,12_8,0_0,0_0,50,2
Bears,26,31,83.9,0_0,7_6,8_7,16_13,0_0,0_0,48,0
Raiders,26,32,81.2,0_0,9_8,11_10,10_7,0_0,0_0,52,1
Eagles,26,31,83.9,1_1,9_9,8_7,10_7,0_0,0_0,50,0
Redskins,26,33,78.8,0_0,8_8,11_8,12_8,0_0,0_0,55,0
Patriots,24,30,80,1_1,8_8,8_7,12_7,0_0,0_0,54,0
Jets,24,31,77.4,1_1,8_8,7_5,9_7,0_0,0_0,53,1
Panthers,23,28,82.1,0_0,10_10,4_4,9_7,0_0,0_0,52,0
Rams,23,29,79.3,0_0,11_11,5_5,12_6,0_0,0_0,54,0
Giants,23,30,76.7,0_0,8_8,8_7,7_6,0_0,0_0,51,0
Browns,22,25,88,0_0,10_10,9_8,6_4,0_0,0_0,48,0
Cowboys,22,33,66.7,0_0,8_8,11_9,13_5,0_0,0_0,46,3
Lions,21,30,70,1_1,2_2,8_8,12_6,0_0,0_0,54,1
Cardinals,21,26,80.8,2_2,9_9,6_4,8_5,0_0,0_0,50,0
Packers,20,31,64.5,0_0,4_3,10_9,14_7,0_0,0_0,54,1
Titans,20,28,71.4,0_0,6_6,5_5,15_8,0_0,0_0,51,0
Seahawks,20,32,62.5,0_0,8_7,5_4,14_6,0_0,0_0,54,0
Dolphins,19,21,90.5,1_1,8_8,8_8,4_2,0_0,0_0,46,0
Bills,18,29,62.1,0_0,10_10,4_2,15_6,0_0,0_0,49,2
Jaguars,18,28,64.3,0_0,5_4,11_8,11_6,0_0,0_0,48,1
49ers,18,25,72,2_1,7_6,7_6,8_4,0_0,0_0,52,4
Bengals,17,28,60.7,0_0,6_4,11_8,9_4,0_0,0_0,52,0
Vikings,15,18,83.3,0_0,7_7,4_2,7_6,0_0,0_0,44,0
