Team,Avg,Ret,Yds,PRet T,20+,40+,Lng,FC,FUM
Falcons,13.6,34,463,0,7,3,74,7,4
Patriots,13.3,33,440,2,6,3,85T,15,2
Broncos,13.1,31,405,1,6,2,86T,9,2
Cowboys,12,41,493,1,8,3,65T,13,4
Ravens,11.7,48,563,0,7,1,62,10,1
Raiders,11.7,29,339,1,2,1,88T,32,4
Eagles,11.6,44,508,0,6,1,54,22,2
Cardinals,11,43,472,0,6,1,55,1,0
Dolphins,11,43,471,0,3,1,48,13,3
Panthers,10.8,39,420,1,6,2,70T,12,3
Seahawks,10.7,33,352,0,5,0,34,14,2
Redskins,10.5,41,431,1,5,1,89T,10,5
Buccaneers,10.4,38,396,1,4,1,84T,14,3
Colts,10,29,290,1,4,1,78,12,2
Jets,9.5,34,323,0,6,0,35,14,2
Chargers,9.4,44,415,1,3,1,84T,16,4
Bills,9.4,24,225,1,4,1,66T,9,1
Bengals,9.4,31,290,0,2,1,86,16,3
Rams,9.3,43,400,0,6,0,32,18,4
Bears,9,45,405,0,4,0,35,14,2
Lions,8.8,29,255,0,3,0,34,21,1
Jaguars,8.8,38,333,0,5,0,24,22,3
Steelers,8.4,50,420,0,7,0,39,15,5
Giants,8,47,376,0,4,0,23,13,4
Browns,8,31,247,0,3,1,43,16,2
Titans,7.8,36,282,0,2,0,36,23,1
Saints,7.8,37,288,0,4,1,42,13,8
Packers,7.6,33,251,1,2,1,55T,20,1
Chiefs,7.4,44,326,0,1,0,26T,8,2
Vikings,6.8,45,307,0,4,0,23,9,4
49ers,6.6,23,151,0,0,0,19,19,1
