Team,3rd Att,3rd Md,4th Att,4th Md,Rush 1st,Rush 1st%,Scrm Plys
Steelers,201,68,10,4,74,18.6,962
Patriots,231,96,13,5,97,19.2,1013
Bills,235,107,18,6,114,22.8,1119
Broncos,215,71,17,8,86,21.7,1005
Packers,217,70,19,3,88,20.8,999
Bengals,212,85,11,7,134,25.7,1000
Eagles,205,66,20,15,91,19.5,966
Chargers,210,83,8,4,86,20.8,1002
Giants,196,67,23,12,89,22.5,950
Seahawks,229,91,13,6,106,23.4,1085
Jets,200,81,19,9,93,22.1,949
Cardinals,206,76,5,1,106,24.5,962
Dolphins,229,103,10,3,103,22.4,1061
Lions,225,92,11,7,108,24.9,990
Oilers,208,64,24,12,73,19.8,1003
Vikings,207,81,6,3,98,23.6,938
Bears,214,80,15,6,112,23.5,1026
Buccaneers,224,85,16,5,109,22.8,1011
Redskins,215,92,15,5,127,24.8,1027
Falcons,200,73,16,7,79,18.8,951
Chiefs,210,86,13,3,103,22.7,1013
Raiders,204,74,9,5,111,22.5,996
Colts,206,85,12,8,151,26.3,1050
Saints,227,92,16,9,116,22.6,1008
Cowboys,219,87,17,6,94,22.2,1012
Rams,218,102,17,10,117,24.4,1003
Browns,231,88,13,6,94,20.8,1040
49ers,214,87,20,9,109,27,1012
