Team,INT,INT TD,INT Yds,Lng
Saints,12,1,74,27T
Bengals,11,1,80,24
Jaguars,11,2,171,61
49ers,11,0,178,32
Ravens,9,0,153,52
Cowboys,9,3,156,54T
Colts,9,2,159,66T
Bills,8,1,74,32T
Raiders,8,1,194,75T
Jets,8,0,58,45
Steelers,8,1,61,30T
Browns,7,0,34,20
Broncos,7,0,63,33
Lions,7,1,116,50T
Vikings,7,0,107,43
Buccaneers,7,1,52,26T
Bears,6,1,81,42T
Chargers,6,0,31,9
Seahawks,6,2,158,97
Commanders,6,0,26,23
Panthers,5,2,202,99
Packers,5,1,66,37T
Chiefs,5,0,41,16
Patriots,5,0,36,20
Cardinals,5,0,38,35
Falcons,4,0,7,4
Texans,4,0,33,33
Rams,4,0,18,18
Dolphins,4,1,76,49T
Giants,4,1,120,102T
Eagles,4,1,103,70T
Titans,2,0,20,10
