Team,FF,FR,FR TD
Vikings,13,5,2
Steelers,13,8,1
Eagles,12,6,0
Texans,10,6,0
Colts,10,5,1
Chiefs,10,8,1
Bills,9,5,0
Jaguars,9,7,0
Buccaneers,9,7,0
Browns,8,6,1
Cowboys,8,3,1
Broncos,8,5,1
Titans,8,4,0
Dolphins,8,5,0
Jets,8,5,1
Seahawks,8,6,0
Falcons,7,5,0
Ravens,7,4,0
Bears,7,3,0
Chargers,7,9,0
Commanders,7,7,0
Rams,6,4,0
Patriots,6,4,0
Cardinals,6,5,1
Bengals,5,4,0
Lions,5,3,0
Giants,5,4,0
Raiders,4,2,0
Saints,4,6,0
49ers,4,2,0
Packers,3,3,0
Panthers,2,2,0
