Team,Att,Rush Yds,YPC,TD,Rush 1st,Rush 1st%
Ravens,208,827,4,3,43,20.7
Eagles,160,597,3.7,3,33,20.6
Browns,192,718,3.7,7,34,17.7
Falcons,250,962,3.8,2,47,18.8
Giants,248,1144,4.6,13,58,23.4
Bears,220,717,3.3,4,43,19.6
Saints,231,1011,4.4,4,48,20.8
Colts,282,1130,4,15,69,24.5
Lions,164,614,3.7,6,36,22
49ers,169,689,4.1,4,47,27.8
Cardinals,278,1158,4.2,12,77,27.7
Jaguars,176,634,3.6,5,40,22.7
Rams,262,1105,4.2,10,64,24.4
Cowboys,218,871,4,7,44,20.2
Bills,212,1030,4.9,6,48,22.6
Dolphins,245,956,3.9,9,68,27.8
Chiefs,222,1010,4.6,3,52,23.4
Texans,223,776,3.5,10,56,25.1
Raiders,275,1248,4.5,10,72,26.2
Patriots,261,907,3.5,8,53,20.3
Chargers,193,718,3.7,8,46,23.8
Titans,226,918,4.1,5,48,21.2
Buccaneers,195,743,3.8,4,45,23.1
Packers,250,992,4,7,62,24.8
Vikings,251,923,3.7,7,61,24.3
Panthers,238,1054,4.4,14,61,25.6
Broncos,230,1233,5.4,8,57,24.8
Steelers,237,1065,4.5,5,54,22.8
Seahawks,231,976,4.2,10,57,24.7
Commanders,242,1046,4.3,6,56,23.1
Jets,258,1098,4.3,5,58,22.5
Bengals,209,1038,5,7,62,29.7
