Team,Avg,Ret,Yds,PRet T,20+,40+,Lng,FC,FUM
Broncos,17.4,16,279,0,5,2,52,13,1
Chargers,16.2,23,373,1,6,1,87T,24,3
Ravens,14.7,28,411,1,6,2,76T,23,0
Eagles,14.6,28,409,0,7,2,54,15,2
Saints,12.4,28,347,1,2,1,76T,23,0
Bengals,10.6,30,318,1,4,1,81T,14,1
Raiders,10.5,23,242,0,1,0,32,16,2
Jaguars,10.4,25,261,0,4,1,48,15,2
Seahawks,10.4,24,250,0,3,0,32,15,2
Dolphins,9.8,27,265,0,0,0,19,25,1
Jets,9.6,25,241,1,1,1,65T,30,2
Lions,9.4,22,207,0,1,0,24,22,1
Colts,9.3,26,242,0,2,0,32,19,3
Buccaneers,9.3,23,213,0,1,1,51,14,2
Cardinals,9,26,235,0,2,1,49,10,1
Chiefs,8.9,36,319,0,5,1,50,15,4
Texans,8.8,25,220,0,2,0,22,22,2
Bills,8.8,28,246,0,3,0,24,21,3
Browns,8.4,40,337,0,1,0,21,29,2
Panthers,8.2,32,262,1,3,1,79T,20,2
Commanders,8.1,34,276,0,3,1,61,13,2
Bears,8,21,169,0,1,0,31,20,2
Vikings,8,34,272,0,3,0,25,14,1
49ers,8,30,239,0,0,0,19,13,2
Titans,7.7,40,308,0,1,0,21,12,3
Packers,7.6,25,189,0,3,0,35,12,5
Falcons,6.9,29,200,0,1,0,23,17,2
Rams,6.8,26,178,0,1,0,29,20,3
Steelers,6.6,24,159,0,1,0,21,12,2
Giants,6.2,28,174,0,0,0,17,16,7
Patriots,6.1,29,176,0,2,0,25,23,5
Cowboys,5.5,17,94,0,0,0,15,20,1
