Team,FGM,Att,FG %,1-19 > A-M,20-29 > A-M,30-39 > A-M,40-49 > A-M,50-59 > A-M,60+ > A-M,Lng,FG Blk
Browns,33,36,91.7,0_0,8_8,7_7,13_10,8_8,0_0,58,0
Cowboys,33,33,100,0_0,9_9,13_13,3_3,7_7,1_1,60,0
Rams,32,43,74.4,0_0,11_11,7_7,15_9,10_5,0_0,54,1
Ravens,31,36,86.1,0_0,10_10,9_9,12_11,4_1,1_0,50,1
Jets,31,32,96.9,0_0,7_7,9_9,10_10,6_5,0_0,55,0
Falcons,30,33,90.9,0_0,10_10,8_8,10_9,5_3,0_0,54,0
Seahawks,30,37,81.1,0_0,6_6,11_10,12_10,8_4,0_0,55,0
Bears,29,31,93.6,0_0,8_8,9_9,8_6,6_6,0_0,55,0
Texans,29,33,87.9,0_0,11_11,12_12,4_3,6_3,0_0,54,0
Titans,28,29,96.6,0_0,9_9,9_9,6_6,5_4,0_0,53,0
Eagles,28,30,93.3,0_0,9_9,7_6,6_6,7_6,1_1,61,0
Broncos,27,30,90,0_0,10_10,12_11,3_3,5_3,0_0,52,1
Colts,27,34,79.4,0_0,9_9,6_5,8_6,10_7,1_0,57,1
Buccaneers,26,28,92.9,0_0,8_8,10_10,3_2,7_6,0_0,57,2
Panthers,25,29,86.2,0_0,6_6,7_7,9_7,7_5,0_0,56,0
Chiefs,25,27,92.6,0_0,5_5,15_13,3_3,3_3,1_1,60,0
Saints,25,32,78.1,0_0,9_7,5_5,9_7,9_6,0_0,55,0
Steelers,25,27,92.6,0_0,6_6,6_6,8_7,6_6,1_0,57,0
Bengals,24,29,82.8,0_0,5_5,5_5,7_7,12_7,0_0,56,0
Packers,24,29,82.8,0_0,5_5,12_12,7_4,4_3,1_0,53,0
Jaguars,24,31,77.4,0_0,2_2,7_7,12_10,10_5,0_0,56,1
Cardinals,24,27,88.9,0_0,4_4,6_5,6_6,10_8,1_1,62,0
Chargers,24,25,96,0_0,6_6,7_7,6_6,6_5,0_0,55,0
Bills,22,27,81.5,0_0,3_3,12_11,6_4,6_4,0_0,54,1
Raiders,22,26,84.6,0_0,9_9,6_5,8_7,3_1,0_0,54,1
Dolphins,22,26,84.6,0_0,5_5,6_6,8_6,7_5,0_0,57,2
Vikings,21,27,77.8,1_1,7_7,8_8,5_2,6_3,0_0,54,1
49ers,19,22,86.4,0_0,6_6,7_7,6_4,3_2,0_0,57,0
Giants,18,25,72,0_0,2_2,7_5,10_6,6_5,0_0,57,1
Commanders,17,22,77.3,0_0,3_2,6_6,8_6,4_2,1_1,61,1
Lions,16,18,88.9,0_0,3_2,11_11,2_2,2_1,0_0,52,0
Patriots,15,23,65.2,0_0,4_4,6_4,9_5,4_2,0_0,56,0
