Team,FGM,FG %,XPM,XP Pct,KRet TD,PRet T
Browns,33,91.7,24,92.3,0,0
Cowboys,33,100,42,93.3,0,0
Rams,32,74.4,29,93.6,0,0
Ravens,31,86.1,42,97.7,0,1
Jets,31,96.9,14,93.3,0,1
Falcons,30,90.9,23,95.8,0,0
Seahawks,30,81.1,30,100,0,0
Bears,29,93.6,27,93.1,0,0
Texans,29,87.9,27,96.4,2,0
Titans,28,96.6,24,92.3,0,0
Eagles,28,93.3,40,97.6,0,0
Broncos,27,90,26,92.9,1,0
Colts,27,79.4,33,97.1,0,0
Buccaneers,26,92.9,32,100,0,0
Panthers,25,86.2,17,85,0,1
Chiefs,25,92.6,36,100,0,0
Saints,25,78.1,32,100,0,1
Steelers,25,92.6,22,95.6,0,0
Bengals,24,82.8,34,100,0,1
Packers,24,82.8,29,87.9,0,0
Jaguars,24,77.4,31,100,0,0
Cardinals,24,88.9,17,94.4,0,0
Chargers,24,96,35,100,0,1
Bills,22,81.5,43,97.7,0,0
Raiders,22,84.6,27,100,0,0
Dolphins,22,84.6,55,98.2,0,0
Vikings,21,77.8,33,94.3,0,0
49ers,19,86.4,55,100,0,0
Giants,18,72,20,100,0,0
Commanders,17,77.3,30,90.9,0,0
Lions,16,88.9,44,93.6,0,0
Patriots,15,65.2,21,95.4,0,0
