Team,Net Avg,Net Yds,Punts,Avg,Lng,Yds,IN 20,OOB,Dn,TB,FC,Ret,RetY,TD,P Blk
Cowboys,45.7,1829,40,52,63,2081,16,2,3,2,12,21,212,0,0
Raiders,45.3,2992,66,50.9,83,3362,29,12,2,6,18,28,250,0,0
Seahawks,44.2,2562,58,49.8,73,2886,23,3,8,6,11,30,204,0,0
Jaguars,43.8,2496,57,47.5,65,2710,28,8,4,4,21,20,134,0,0
Titans,43.6,3097,71,50.9,74,3616,33,9,8,12,17,25,279,0,1
Panthers,43.2,3022,70,47.1,69,3295,23,3,12,4,22,29,193,0,0
49ers,43.2,2028,47,48.1,67,2260,23,3,11,2,12,19,192,0,0
Eagles,43,1980,46,48.2,63,2219,16,2,9,1,7,27,219,0,0
Texans,42.8,3037,71,46.2,74,3282,27,5,9,5,28,24,145,0,0
Cardinals,42.8,2609,61,49.5,77,3020,11,3,8,3,12,35,351,0,0
Colts,42.6,2601,61,47.8,69,2916,21,7,10,0,10,34,315,0,1
Chargers,42.6,2810,66,46.6,83,3073,26,4,7,4,27,24,183,0,0
Buccaneers,42.4,2800,66,50.3,74,3317,25,9,7,7,9,33,377,0,0
Browns,42.3,3386,80,49.5,73,3959,27,12,5,9,14,40,393,0,0
Giants,42.1,3580,85,46.1,74,3922,31,6,8,4,29,38,262,0,0
Jets,42,3651,87,49.4,62,4296,30,5,6,7,24,45,505,1,0
Chiefs,41.9,2179,52,47,68,2445,17,4,10,3,16,19,206,0,0
Dolphins,41.8,1882,45,45,66,2027,18,5,7,2,16,15,105,0,0
Broncos,41.7,2879,69,45.5,68,3138,23,4,6,4,26,29,179,0,0
Falcons,41.6,2785,67,46.9,62,3141,26,11,5,2,22,27,316,0,0
Commanders,41.5,2865,69,45.7,66,3155,29,1,10,2,25,31,250,0,1
Lions,41.4,1988,48,45.5,62,2183,22,3,6,2,17,20,155,0,0
Vikings,41.4,2150,52,47.3,63,2458,14,6,2,6,15,23,188,0,0
Patriots,41,3487,85,47.1,79,4000,35,14,7,7,21,36,373,0,0
Ravens,40.2,2289,57,47.5,67,2710,27,7,3,4,16,27,341,1,1
Bengals,40.1,2645,66,44,62,2905,18,7,6,5,22,26,160,0,0
Rams,39.8,2228,56,48.5,72,2718,17,7,5,6,12,26,370,1,1
Packers,39.4,2169,55,46.1,68,2535,18,2,5,5,22,21,266,1,0
Saints,39.4,2563,65,42.7,62,2773,27,6,8,4,22,25,130,0,0
Steelers,39.1,3209,82,44.1,63,3618,30,10,10,7,26,29,269,0,0
Bills,38.8,1709,44,45.6,70,2004,17,5,4,3,14,18,235,1,0
Bears,38,2282,60,45.9,76,2756,16,5,10,6,11,28,354,1,0
