Team,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM
Panthers,27.2,22,598,0,18,2,52,0,1
Texans,26.8,21,562,2,13,2,98,1,0
Seahawks,26,23,598,0,21,1,66,0,0
Packers,25.5,29,739,0,24,2,51,0,0
Commanders,25,21,524,0,15,1,40,0,1
Broncos,24.5,14,343,1,9,1,99T,2,1
Dolphins,24.5,15,367,0,14,0,33,0,0
Colts,24.4,7,171,0,3,1,42,7,0
Browns,24.2,10,242,0,7,0,36,1,0
Vikings,23.6,11,260,0,7,0,38,1,0
Jaguars,23.6,24,567,0,17,1,53,0,0
Raiders,23.6,10,236,0,8,1,40,1,0
Steelers,23.1,22,509,0,15,0,37,2,0
Bengals,22.9,15,343,0,10,2,46,0,0
Jets,22.7,18,409,0,12,0,30,1,1
Patriots,22.6,14,316,0,10,2,43,1,0
Bears,22.1,17,376,0,12,0,37,2,0
Lions,21.9,18,395,0,10,0,31,2,1
Chiefs,21.8,10,218,0,7,0,31,6,0
49ers,21.5,19,409,0,10,0,34,0,0
Cowboys,21.4,17,364,0,9,2,63,0,0
Saints,21.2,20,425,0,10,0,28,1,1
Cardinals,20.8,14,291,0,7,1,40,1,0
Titans,20.7,18,372,0,11,0,33,13,0
Bills,20.5,15,307,0,8,1,41,4,0
Buccaneers,20.4,16,327,0,7,0,32,5,0
Chargers,20.1,16,321,0,11,0,27,2,0
Ravens,19.8,11,218,0,6,0,28,4,0
Eagles,19.6,11,216,0,4,0,38,8,1
Giants,19.2,13,249,0,7,0,36,3,0
Falcons,16.9,14,236,0,5,0,29,0,0
Rams,16.1,9,145,0,4,0,36,9,0
