Player,Comb,Asst,Solo,Sck
John Offerdahl,104,10,82,1
Cliff Odom,96,17,72,1
Darryl Talley,95,14,67,4
Bruce Smith,84,10,64,19
Jarvis Williams,73,3,63,2
Shane Conlan,68,6,51,1
Leon Seals,64,3,54,4
Leonard Smith,63,9,53,0
Cornelius Bennett,61,7,50,4
Louis Oliver,55,5,43,1
Jeff Cross,53,5,44,11.5
Jeff Wright,53,6,43,5
David Griggs,52,2,46,5.5
Ray Bentley,49,10,33,0
Hugh Green,49,2,44,2
J.B. Brown,43,1,41,1
Carlton Bailey,41,4,30,2
Tim McKyer,38,2,35,0
Kerry Glenn,32,2,29,1
Nate Odomes,32,4,25,0
James Williams,32,0,27,0
Liffort Hobley,31,3,24,3
Shawn Lee,29,2,27,1.5
Alfred Oglesby,26,6,17,2.5
T.J. Turner,26,1,21,1
Mark Pike,23,2,20,0
John Hagy,22,2,18,0
E.J. Junior,22,0,21,6
Rodney Thomas,21,2,18,0
Kirby Jackson,19,3,16,0
Karl Wilson,18,2,16,4
Chris Hale,14,1,12,0
Marvcus Patton,14,2,12,0.5
Mark Kelso,13,0,11,0
Don Smith,13,0,13,0
Cliff Hicks,12,0,12,1
Gary Baldinger,11,1,10,0
Butch Rolle,10,0,9,0
Jim Jensen,8,0,7,0
Rick Graf,7,1,5,0
Jamie Mueller,7,0,5,0
David Pool,7,0,7,0
Hal Garner,6,1,5,0.5
Mike Lodish,6,0,5,2
Mike Reichenbach,6,1,5,0
Steve Tasker,6,0,6,0
Eric Kumerow,5,0,4,0
Brian Sochia,5,0,5,1
Al Edwards,4,0,4,0
Mark Higgs,4,1,3,0
Greg Baty,3,0,2,0
Mark Clayton,3,0,3,0
Dwight Drane,3,0,3,0
Carwell Gardner,3,0,3,0
African Grant,3,0,3,0
Paul Lankford,3,0,3,0
Garrett Limbrick,3,0,3,0
Marc Logan,3,0,3,0
Scott Norwood,3,0,3,0
Richard Carey,2,0,2,0
Kent Hull,2,0,2,0
Greg Mark,2,0,2,0
Stevon Moore,2,0,2,0
Tony Paige,2,0,2,0
Keith Sims,2,0,2,0
Sammie Smith,2,0,2,0
Howard Ballard,1,0,1,0
Kenneth Davis,1,0,1,0
Ferrell Edmunds,1,0,1,0
Roy Foster,1,0,1,0
Harry Galbreath,1,0,1,0
Jeff Hunter,1,0,0,3
Adam Lingner,1,0,1,0
Dan Marino,1,0,1,0
Keith McKeller,1,0,1,0
Matt Monger,1,0,1,0
Pete Stoyanovich,1,0,1,0
Thurman Thomas,1,0,1,0
Vernon Turner,1,0,1,0
Richmond Webb,1,0,1,0
Ray Agnew,0,0,0,2.5
Jeff Alm,0,0,0,0.5
Trace Armstrong,0,0,0,10
Gene Atkins,0,0,0,3
Steve Atwater,0,0,0,1
Al Baker,0,0,0,3
Jerry Ball,0,0,0,2
Carl Banks,0,0,0,1
Chip Banks,0,0,0,4.5
Martin Bayless,0,0,0,3
Anthony Bell,0,0,0,3
Mike Bell,0,0,0,1
Tony Bennett,0,0,0,3
George Bethune,0,0,0,2
Duane Bickett,0,0,0,4.5
Bennie Blades,0,0,0,1
Anthony Blaylock,0,0,0,1
Todd Bowles,0,0,0,1
Stephen Braggs,0,0,0,2.5
Matt Brock,0,0,0,4
Kevin Brooks,0,0,0,1
Michael Brooks,0,0,0,2
Dennis Brown,0,0,0,6
Jerome Brown,0,0,0,1
Robert Brown,0,0,0,3
Vincent Brown,0,0,0,2.5
Joey Browner,0,0,0,3
Aundray Bruce,0,0,0,4
Rick Bryan,0,0,0,1
Jeff Bryant,0,0,0,5.5
Jason Buck,0,0,0,0.5
Bob Buczkowski,0,0,0,0.5
Rob Burnett,0,0,0,2
Jim Burt,0,0,0,2
Barney Bussey,0,0,0,2
Dennis Byrd,0,0,0,13
Ravin Caldwell,0,0,0,1
John Cannon,0,0,0,1
Michael Carter,0,0,0,1
Scott Case,0,0,0,3
Tony Casillas,0,0,0,1
Dick Chapura,0,0,0,1
Ray Childress,0,0,0,8
Sam Clancy,0,0,0,7.5
Ken Clarke,0,0,0,7
Kyle Clifton,0,0,0,0.5
Jackie Cline,0,0,0,1
Mike Cofer,0,0,0,10
Monte Coleman,0,0,0,3
Andre Collins,0,0,0,6
Darren Comeaux,0,0,0,1
Darion Conner,0,0,0,2
Toi Cook,0,0,0,1
Johnie Cooks,0,0,0,1
Louis Cooper,0,0,0,2
Ron Cox,0,0,0,3
Ray Crockett,0,0,0,1
Kenny Davidson,0,0,0,3.5
Darrell Davis,0,0,0,5
Reuben Davis,0,0,0,1
Scott Davis,0,0,0,10
Jack Del Rio,0,0,0,1.5
Rick Dennison,0,0,0,1
Burnell Dent,0,0,0,1
Richard Dent,0,0,0,12
Chris Doleman,0,0,0,11
Mark Duckens,0,0,0,3
Mark Dusbabek,0,0,0,0
Donnie Elder,0,0,0,0.5
Tory Epps,0,0,0,3
Byron Evans,0,0,0,1
Donald Evans,0,0,0,3
Kevin Fagan,0,0,0,9.5
Brett Faryniarz,0,0,0,2
Jeff Faulkner,0,0,0,2
Keith Ferguson,0,0,0,3
Simon Fletcher,0,0,0,11
Mike Fox,0,0,0,1.5
James Francis,0,0,0,8
