Team,FGM,FG %,XPM,XP Pct,KRet TD,PRet T
Lions,27,64.3,35,97.2,1,0
Broncos,26,76.5,32,97,0,0
Patriots,26,76.5,51,100,1,1
Chargers,24,66.7,46,95.8,0,0
Oilers,20,80,31,91.2,0,0
Chiefs,20,76.9,37,100,0,2
Seahawks,20,64.5,33,100,0,1
Falcons,19,70.4,46,93.9,0,0
Raiders,19,51.4,41,93.2,2,0
Steelers,19,67.9,39,92.9,0,0
Redskins,18,54.6,27,90,0,0
Browns,16,61.5,39,88.6,0,0
Rams,16,53.3,51,98.1,1,0
Vikings,16,61.5,33,86.8,1,0
Giants,16,66.7,27,96.4,0,0
Eagles,16,51.6,48,100,0,0
Buccaneers,16,69.6,31,96.9,0,0
Bengals,15,51.7,27,96.4,0,0
49ers,15,79,33,84.6,1,2
Dolphins,14,60.9,32,100,0,0
Jets,14,63.6,36,100,0,0
Cardinals,14,60.9,35,94.6,0,1
Bills,13,56.5,37,94.9,0,0
Bears,13,72.2,35,94.6,1,0
Colts,12,52.2,43,93.5,0,0
Saints,12,54.6,33,91.7,0,0
Cowboys,11,64.7,59,98.3,0,0
Packers,11,55,24,85.7,0,0
