Team,Net Avg,Net Yds,Punts,Avg,Lng,Yds,IN 20,OOB,Dn,TB,FC,Ret,RetY,TD,P Blk
Giants,36.6,3445,94,44.8,63,4211,16,7,12,13,4,58,506,0,0
Dolphins,36.1,2780,77,42.6,71,3279,18,7,11,8,9,42,339,0,2
Raiders,35.9,2551,71,43.6,66,3099,18,13,4,14,6,34,268,0,0
Broncos,35.9,2512,70,43.9,57,3075,10,4,4,6,4,52,443,1,0
Lions,35.8,2576,72,42.2,67,3036,16,9,9,8,8,38,300,1,1
Steelers,35.4,2339,66,40.2,54,2656,13,11,8,5,8,34,217,0,0
Cowboys,34.8,2468,71,40.9,58,2903,17,9,9,11,10,32,215,0,0
Jets,34.6,2527,73,42.4,59,3096,15,3,7,10,7,46,369,1,1
Falcons,34.3,2707,79,39.1,59,3087,25,5,13,7,18,36,240,0,0
Eagles,34.2,2563,75,39.3,58,2947,16,11,12,8,9,35,224,0,1
Chiefs,34.1,2868,84,39.5,57,3317,23,17,4,8,11,44,289,0,1
Vikings,33.6,2720,81,38.8,65,3139,20,13,6,8,12,42,259,0,0
Patriots,33.6,2115,63,38,69,2392,12,9,11,2,13,28,237,0,0
Buccaneers,33.6,2953,88,42.3,62,3722,18,10,8,12,4,54,529,1,1
Rams,33.5,2549,76,39.5,65,3002,14,17,7,5,5,42,353,0,1
Redskins,33.4,2840,85,39.2,57,3331,11,4,8,7,14,52,351,0,0
Colts,33.2,2726,82,39.1,59,3203,22,6,8,6,13,49,357,1,2
Saints,33.1,2949,89,39.3,57,3499,23,4,14,3,20,48,490,1,0
Bears,32.8,2592,79,40.6,61,3207,16,5,11,10,7,46,415,0,0
49ers,32.8,2522,77,40.9,65,3152,11,7,6,5,11,48,530,0,0
Packers,32.7,2845,87,38.2,55,3327,18,7,11,7,12,50,342,0,0
Seahawks,32.5,2211,68,41.6,62,2827,15,3,7,7,9,42,476,0,2
Browns,32.5,2145,66,38.3,56,2530,12,5,10,7,6,38,245,0,0
Oilers,32.4,2173,67,40.7,57,2727,19,5,5,8,9,40,394,0,0
Chargers,32.1,1928,60,39.1,55,2347,10,4,5,3,5,43,359,0,1
Bengals,32,2719,85,40.7,61,3457,22,7,13,13,6,46,478,0,2
Cardinals,32,3166,99,41.5,66,4111,12,6,4,15,12,62,645,1,1
Bills,31.6,2304,73,38.7,61,2828,12,2,15,16,6,34,204,0,1
