Team,Att,Cmp,Cmp %,Yds/Att,Yds,TD,INT,1st,1st%,Sck
Saints,526,299,56.8,6.7,3547,21,15,180,34.2,28
Cardinals,517,323,62.5,6.8,3540,36,13,172,33.3,31
Broncos,495,333,67.3,7.4,3656,20,6,186,37.6,26
Eagles,525,284,54.1,5.6,2913,19,15,144,27.4,48
Colts,481,329,68.4,6.3,3009,6,15,165,34.3,30
Buccaneers,475,276,58.1,6.3,2997,23,22,153,32.2,29
Texans,471,294,62.4,7.3,3423,24,12,167,35.5,25
Cowboys,508,308,60.6,5.9,3003,19,8,163,32.1,59
Packers,518,287,55.4,6.3,3244,22,22,141,27.2,27
Chiefs,522,348,66.7,7.2,3748,21,13,195,37.4,10
Jaguars,465,297,63.9,7.7,3586,25,13,166,35.7,29
Patriots,474,288,60.8,6.8,3222,27,14,176,37.1,31
Jets,572,368,64.3,6.6,3752,23,14,209,36.5,41
Bears,622,383,61.6,6.2,3859,21,22,208,33.4,28
Rams,444,278,62.6,7.8,3475,20,12,158,35.6,30
Bengals,506,315,62.2,6.5,3287,23,12,169,33.4,17
Redskins,511,290,56.8,6.1,3095,16,13,159,31.1,24
Lions,443,303,68.4,8.4,3716,25,4,188,42.4,30
Niners,545,331,60.7,6.4,3507,22,12,170,31.2,30
Steelers,533,301,56.5,4.7,2511,12,20,149,28,51
Dolphins,551,320,58.1,6.6,3644,18,18,173,31.4,40
Giants,503,296,58.8,6.2,3139,17,17,165,32.8,42
Browns,446,286,64.1,7.3,3273,19,23,176,39.5,17
Bills,492,301,61.2,6.6,3271,14,10,167,33.9,24
Chargers,605,411,67.9,6.5,3958,25,15,213,35.2,28
Seahawks,566,366,64.7,7.3,4149,25,9,207,36.6,35
Titans,575,342,59.5,5.6,3196,12,20,166,28.9,44
Vikings,530,324,61.1,6.5,3449,15,12,163,30.8,45
Falcons,549,325,59.2,6.4,3526,20,10,189,34.4,34
Ravens,528,276,52.3,5.4,2875,17,26,152,28.8,34
Raiders,471,266,56.5,6.8,3220,20,16,166,35.2,32
Panthers,557,333,59.8,6.1,3387,19,12,178,32,37
