Team,INT,INT TD,INT Yds,Lng
Ravens,26,5,477,107
Browns,23,2,406,98T
Bears,22,1,312,50T
Packers,22,6,685,99
Buccaneers,22,3,396,84
Titans,20,3,351,99
Steelers,20,2,290,89
Dolphins,18,2,214,55
Giants,17,2,339,57
Raiders,16,0,145,44
Colts,15,2,204,85
Saints,15,0,188,42
Eagles,15,2,279,55
Chargers,15,2,167,59
Patriots,14,0,104,47
Jets,14,3,282,92
Jaguars,13,2,220,72T
Chiefs,13,2,275,91
Cardinals,13,2,321,99
Redskins,13,0,114,42
Panthers,12,0,192,44
Bengals,12,1,236,50T
Texans,12,1,178,44T
Rams,12,0,162,43
Vikings,12,0,56,28
Niners,12,1,139,86T
Falcons,10,2,233,95
Bills,10,3,217,64
Seahawks,9,2,217,75
Cowboys,8,1,36,23T
Broncos,6,0,63,34
Lions,4,0,16,18
