Player,Comb,Asst,Solo,Sck
Doug English,0,0,0,0
Elois Grooms,0,0,0,0
Mike Lewis,0,0,0,0
Harvey Martin,0,0,0,0
Greg McCrary,0,0,0,0
Tim Moresco,0,0,0,0
John Skorupan,0,0,0,0
Wilbur Young,0,0,0,0
