Player,FF,FR,FR TD
Doug English,0,2,0
Elois Grooms,0,2,0
Mike Lewis,0,1,0
Harvey Martin,0,0,0
Greg McCrary,0,0,0
Tim Moresco,0,1,0
John Skorupan,0,0,0
Wilbur Young,0,3,1
