Player,Avg,Net Avg,Net Yds,Punts,Lng,Yds,IN 20,OOB,Dn,TB,FC,Ret,RetY,TD,P Blk
Bob Grupp,43.6,37.6,3348,90,74,3883,23,15,6,11,8,49,315,0,1
Dave Jennings,42.7,36.7,3818,104,72,4445,19,4,9,9,22,60,447,0,0
Ray Guy,42.6,34.2,2363,70,71,2939,16,10,3,8,8,40,416,1,1
Danny White,41.7,36,2736,76,73,3168,21,7,8,9,18,34,252,0,0
Pat McInally,41.3,35,3113,91,61,3678,19,11,9,12,9,48,325,0,2
Johnny Evans,41.2,33.2,2289,71,59,2844,7,4,9,9,2,45,375,0,2
Rick Partridge,40.9,35.5,2026,57,61,2330,15,9,9,7,8,24,164,0,0
Chuck Ramsey,40.8,34.5,2519,74,64,2979,22,7,15,10,8,33,260,0,1
Cliff Parsley,40.6,31.7,2951,93,59,3777,14,9,6,5,9,64,726,1,0
Tom Skladany,40.6,40.1,401,10,52,406,2,0,1,0,4,5,5,0,0
David Beverly,40.4,34.8,2400,69,65,2785,11,5,10,4,7,43,305,0,0
Craig Colquitt,40.2,33.8,2297,68,61,2733,19,12,7,8,10,31,276,0,0
George Roberts,40.2,35.1,2421,70,68,2772,13,6,10,11,17,25,131,0,1
Herman Weaver,40.2,34.9,2302,69,60,2651,11,4,5,3,12,42,289,0,3
Ken Clark,40.1,34.3,3186,95,60,3731,17,14,7,7,6,59,405,0,2
Larry Swider,40,33.5,2948,88,72,3523,13,9,9,7,11,52,435,1,0
Luke Prestridge,39.9,33,2935,89,63,3555,17,11,8,7,11,52,480,0,0
John James,39.7,35.6,2957,84,62,3296,12,5,7,4,26,41,259,0,1
Tom Blanchard,39.6,31.3,2909,95,58,3679,14,6,7,25,8,47,270,0,2
Max Runager,39.6,35.2,2607,75,57,2927,13,13,5,6,16,34,200,0,1
Greg Coleman,39.5,33.5,3017,91,70,3551,23,11,12,9,10,48,354,0,1
Steve Little,38.7,32.4,2562,81,63,3060,17,9,12,6,7,45,378,0,2
Mike Bragg,38.4,34.1,2663,78,74,2998,12,7,12,10,20,29,135,0,0
Rusty Jackson,38.2,30.2,2896,96,60,3671,14,3,12,11,9,61,555,1,0
Bob Parsons,37.9,32.2,2962,93,54,3486,26,7,13,6,12,54,404,0,1
Russell Erxleben,37,31.5,126,4,40,148,1,0,1,0,0,3,22,0,0
Dan Melville,37,30.5,2164,72,53,2626,15,12,5,10,7,37,262,0,1
Bucky Dilts,36.9,32.9,3261,101,53,3657,21,8,19,5,24,43,296,1,2
Eddie Hare,36.6,30.1,2501,84,58,3038,20,13,14,11,17,28,317,1,1
Jeff West,36.5,31.4,2352,75,62,2736,23,2,12,9,18,34,204,0,0
Efren Herrera,36,16,16,1,36,36,0,0,0,1,0,0,0,0,0
Tony Franklin,32,32,32,1,32,32,1,0,1,0,0,0,0,0,0
Wes Chandler,31,26.4,211,8,40,248,0,0,0,0,3,5,37,0,0
Uwe von Schamann,31,11,11,1,31,31,0,0,0,1,0,0,0,0,0
