Team,3rd Att,3rd Md,4th Att,4th Md,Rec 1st,Rec 1st%,Rush 1st,Rush 1st%,Scrm Plys
Giants,139,46,19,9,76,41.8,50,18.7,590
Saints,134,50,12,6,103,46.4,60,22.9,622
Colts,130,51,16,6,98,50.3,56,21.5,594
Falcons,126,51,11,5,105,55,64,23.7,598
Rams,126,53,12,7,104,56.5,54,23.1,571
Eagles,126,63,17,13,106,50.5,83,28.6,617
Browns,120,38,10,5,73,47.7,63,22.7,573
Vikings,120,50,15,11,126,51.6,37,18.7,571
Ravens,119,54,7,3,89,47.8,85,28.3,582
Bears,118,52,15,6,93,53.4,71,26.8,567
Patriots,118,39,14,4,89,43.6,50,23.9,549
Panthers,115,46,17,7,91,46.4,49,25,536
Cardinals,115,42,17,4,85,47.5,56,23.4,550
Commanders,114,41,12,6,114,48.5,52,27.7,585
Cowboys,113,53,13,6,102,53.1,50,21.8,525
Lions,113,46,17,8,107,53.5,58,23.8,553
Bills,112,56,9,5,118,51.1,70,30.7,565
Chiefs,112,51,7,3,120,51.7,57,25.2,578
Texans,111,47,9,5,110,63.2,35,16.4,512
Chargers,111,46,12,7,100,52.6,42,20.2,511
Steelers,109,40,7,2,70,44,46,23.7,475
Buccaneers,109,42,8,6,87,48.6,33,16.4,491
Packers,108,45,15,8,86,55.1,41,20.5,479
Jaguars,107,38,11,4,90,47.6,51,21.5,531
Bengals,104,38,9,3,99,48.1,41,24.1,497
Jets,104,23,10,6,70,43.8,36,20.3,477
Raiders,103,34,13,8,101,55.2,39,18.2,523
Titans,99,32,8,5,70,48.6,47,22.8,468
Dolphins,96,38,13,5,131,60.6,61,26.9,553
Seahawks,94,30,8,3,86,51.5,44,23.4,465
Broncos,92,37,6,2,71,46.1,52,26.8,453
49ers,84,39,4,3,98,63.6,66,27.2,482
