Team,Rsh TD,Rec TD,Tot TD,2-PT
Ravens,17,10,27,1
Dolphins,17,20,38,0
49ers,14,12,26,0
Colts,12,11,25,2
Eagles,12,15,28,1
Lions,11,12,24,0
Bills,10,18,29,2
Browns,9,7,16,3
Jaguars,9,9,20,2
Rams,9,8,17,2
Chargers,8,14,23,1
Falcons,7,8,15,1
Bears,7,14,22,1
Raiders,7,8,16,1
Saints,7,11,20,1
Cardinals,7,8,15,2
Seahawks,7,9,18,1
Commanders,7,14,22,2
Titans,6,7,13,0
Cowboys,5,13,22,2
Packers,5,12,18,2
Patriots,5,10,15,0
Chiefs,4,17,21,0
Giants,4,5,10,0
Steelers,4,7,12,0
Bengals,3,12,17,0
Texans,3,15,19,1
Jets,3,5,9,2
Buccaneers,3,12,16,2
Panthers,2,10,14,1
Vikings,2,20,22,1
Broncos,1,16,18,2
