Team,Att,Cmp,Cmp %,Yds/Att,Pass Yds,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,SckY
Commanders,353,235,66.6,7,2471,14,9,89.3,114,32.3,29,1,41,44,293
Vikings,351,244,69.5,7.4,2590,20,5,103.8,126,35.9,38,5,62T,22,129
Chiefs,340,232,68.2,7.3,2473,17,10,93.7,120,35.3,29,4,54,12,89
Saints,339,222,65.5,6.8,2294,11,5,89.5,103,30.4,25,8,58T,21,135
Bills,324,231,71.3,7.5,2423,18,9,99.6,118,36.4,24,5,55T,13,64
Patriots,322,204,63.4,6,1940,10,9,78.7,89,27.6,17,2,58T,18,117
Rams,316,184,58.2,7.1,2242,8,8,78.1,104,32.9,37,3,49,21,163
Colts,312,195,62.5,6.7,2104,11,6,86,98,31.4,27,6,75,22,117
Panthers,311,196,63,5.6,1743,10,7,79.3,91,29.3,16,3,48T,29,246
Dolphins,311,216,69.4,8.6,2676,20,8,106.5,131,42.1,34,8,69,15,89
Bengals,309,206,66.7,6,1861,12,4,90.3,99,32,15,2,63T,18,133
Eagles,305,210,68.8,7.7,2347,15,8,97,106,34.8,32,6,63T,22,123
Falcons,301,191,63.5,7.2,2166,8,7,84.1,105,34.9,27,5,60T,27,187
Lions,293,200,68.3,7.4,2174,12,5,96.4,107,36.5,35,3,45T,16,100
Raiders,287,183,63.8,6.8,1958,8,13,74.1,101,35.2,15,2,50T,22,163
Cardinals,287,179,62.4,5.7,1631,8,7,76.9,85,29.6,16,2,69,24,167
Chargers,283,190,67.1,7.3,2075,14,4,99.2,100,35.3,31,4,60T,20,156
Texans,280,174,62.1,8.1,2276,15,1,104.1,110,39.3,35,5,75,18,163
Buccaneers,277,179,64.6,6.7,1865,12,4,92.4,87,31.4,27,4,70,13,71
Jaguars,275,189,68.7,7.1,1956,9,4,93.8,90,32.7,23,3,56T,19,125
Giants,274,182,66.4,6.1,1662,5,8,76.6,76,27.7,21,2,58,49,267
Cowboys,273,192,70.3,7.5,2042,13,5,100.1,102,37.4,30,3,60,23,163
Bears,272,174,64,7,1898,14,12,83.2,93,34.2,24,3,58,30,183
Browns,271,153,56.5,6.1,1650,7,11,66.2,73,26.9,19,6,59,24,177
Jets,268,160,59.7,6,1600,5,5,75.2,70,26.1,18,2,68T,32,244
Steelers,262,159,60.7,6.3,1646,7,6,78.2,70,26.7,20,3,72,19,142
Ravens,261,186,71.3,7.6,1992,10,3,101.2,89,34.1,28,4,80,21,114
Packers,261,156,59.8,6.6,1734,12,8,82.1,86,33,19,3,77,18,137
Seahawks,259,167,64.5,7.2,1865,9,7,86.1,86,33.2,23,3,51,18,149
Broncos,233,154,66.1,6.9,1613,16,4,101.7,71,30.5,22,5,60T,26,130
Titans,233,144,61.8,7.3,1704,7,7,81.6,70,30,28,7,70,29,204
49ers,225,154,68.4,9,2034,12,5,105.3,98,43.6,31,4,42,14,89
