Team,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Rec 1st,Rec 1st%,Rec FUM
Vikings,244,2590,10.6,20,38,5,62,126,51.6,3
Commanders,235,2471,10.5,14,29,1,41,114,48.5,2
Chiefs,232,2473,10.7,17,29,4,54,120,51.7,4
Bills,231,2423,10.5,18,24,5,55,118,51.1,3
Saints,222,2294,10.3,11,25,8,58,103,46.4,0
Dolphins,216,2676,12.4,20,34,8,69,131,60.6,3
Eagles,210,2347,11.2,15,32,6,63,106,50.5,1
Bengals,206,1861,9,12,15,2,63,99,48.1,3
Patriots,204,1940,9.5,10,17,2,58T,89,43.6,3
Lions,200,2174,10.9,12,35,3,45,107,53.5,3
Panthers,196,1743,8.9,10,16,3,48T,91,46.4,2
Colts,195,2104,10.8,11,27,6,75,98,50.3,2
Cowboys,192,2042,10.6,13,30,3,60,102,53.1,4
Falcons,191,2166,11.3,8,27,5,60T,105,55,1
Chargers,190,2075,10.9,14,31,4,60,100,52.6,5
Jaguars,189,1956,10.4,9,23,3,56,90,47.6,5
Ravens,186,1992,10.7,10,28,4,80,89,47.8,5
Rams,184,2242,12.2,8,37,3,49T,104,56.5,1
Raiders,183,1958,10.7,8,15,2,50T,101,55.2,1
Giants,182,1662,9.1,5,21,2,58T,76,41.8,3
Cardinals,179,1631,9.1,8,16,2,69,85,47.5,0
Buccaneers,179,1865,10.4,12,27,4,70,87,48.6,5
Bears,174,1898,10.9,14,24,3,58T,93,53.4,3
Texans,174,2276,13.1,15,35,5,75,110,63.2,2
Seahawks,167,1865,11.2,9,23,3,51,86,51.5,0
Jets,160,1600,10,5,18,2,68,70,43.8,1
Steelers,159,1646,10.4,7,20,3,72,70,44,2
Packers,156,1734,11.1,12,19,3,77T,86,55.1,2
Broncos,154,1613,10.5,16,22,5,60,71,46.1,4
49ers,154,2034,13.2,12,31,4,42,98,63.6,2
Browns,153,1650,10.8,7,19,6,59,73,47.7,3
Titans,144,1704,11.8,7,28,7,70,70,48.6,1
