Player,Pass Yds,Yds/Att,Att,Cmp,Cmp %,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,SckY
Tua Tagovailoa,715,9.5,75,49,65.3,4,2,102.9,38,50.7,11,1,47,1,5
Kirk Cousins,708,8,88,64,72.7,6,1,114.2,34,38.6,11,2,62,4,34
Matthew Stafford,641,6.9,93,58,62.4,1,2,77.4,34,36.6,7,1,44,1,10
C.J. Stroud,626,6.9,91,58,63.7,2,0,91.2,31,34.1,8,0,32,11,93
Jared Goff,576,8.2,70,50,71.4,4,1,109,28,40,10,0,39,3,10
Mac Jones,547,5.7,96,66,68.8,4,2,88.3,28,29.2,2,0,32,6,41
Justin Herbert,534,7.2,74,50,67.6,3,0,102,24,32.4,7,1,42,6,53
Derek Carr,533,7.7,69,44,63.8,1,2,80.2,23,33.3,8,4,45,8,52
Patrick Mahomes,531,6.6,80,50,62.5,4,2,88.1,22,27.5,6,1,54,1,7
Josh Allen,510,6.5,78,60,76.9,4,3,94.5,28,35.9,3,1,40,7,26
Sam Howell,501,7.2,70,46,65.7,3,1,95,21,30,6,0,36,10,79
Baker Mayfield,490,7.2,68,47,69.1,3,0,104.4,19,27.9,7,1,70,1,4
Russell Wilson,485,7.4,66,45,68.2,5,1,108.5,19,28.8,6,3,60,9,42
Trevor Lawrence,457,6.3,73,46,63,2,1,84.1,24,32.9,5,1,45,6,22
Kenny Pickett,454,6,76,46,60.5,2,3,69.7,15,19.7,6,1,71,7,56
Ryan Tannehill,444,7.7,58,36,62.1,1,3,69.9,17,29.3,6,3,70,8,63
Geno Smith,440,6.6,67,48,71.6,3,0,104.1,25,37.3,4,0,31,3,34
Justin Fields,427,6.5,66,40,60.6,2,3,70.7,21,31.8,7,0,33,10,69
Brock Purdy,426,7.9,54,36,66.7,2,0,102.8,24,44.4,6,0,31,4,17
Daniel Jones,425,6.5,65,41,63.1,2,3,72.9,20,30.8,6,1,58,10,56
Lamar Jackson,406,7.4,55,41,74.6,2,1,99.5,20,36.4,5,1,52,4,14
Dak Prescott,398,6.4,62,44,71,2,0,98.7,24,38.7,5,1,49,1,7
Jordan Love,396,7.6,52,29,55.8,6,0,118.8,20,38.5,5,1,51,2,19
Deshaun Watson,389,5.6,69,38,55.1,2,2,69,21,30.4,4,0,33,9,35
Jimmy Garoppolo,385,7.7,50,36,72,3,3,89.2,21,42,4,0,23,0,0
Jalen Hurts,363,6.5,56,40,71.4,2,1,93.1,12,21.4,3,2,63,7,38
Joshua Dobbs,360,5.9,61,42,68.8,1,0,89.5,20,32.8,4,0,31,3,18
Desmond Ridder,352,7,50,34,68,2,1,93.1,16,32,5,1,45,5,26
Zach Wilson,310,6.5,48,26,54.2,2,4,53.3,13,27.1,4,1,68,5,32
Joe Burrow,304,4.2,72,41,56.9,2,1,70.6,16,22.2,2,0,32,3,21
Bryce Young,299,4.2,71,42,59.2,2,2,66.6,17,23.9,1,0,22,6,33
Anthony Richardson,279,5.9,47,30,63.8,1,1,78.2,16,34,3,0,39,4,8
Gardner Minshew,171,6.8,25,19,76,1,0,107.2,9,36,2,1,43,0,0
Taysom Hill,8,8,1,1,100,0,0,100,0,0,0,0,8,0,0
Tyrod Taylor,6,3,2,2,100,0,0,79.2,0,0,0,0,9,0,0
Jake Browning,0,0,1,0,0,0,0,39.6,0,0,0,0,0,0,0
Aaron Rodgers,0,0,1,0,0,0,0,39.6,0,0,0,0,0,1,10
Cooper Rush,0,0,1,0,0,0,0,39.6,0,0,0,0,0,0,0
Christian Kirk,-1,-1,1,1,100,0,0,79.2,0,0,0,0,-1,0,0
