Player,Rec,Yds,TD,20+,40+,LNG,Rec 1st,1st%,Rec FUM,Rec YAC/R,Tgts
Puka Nacua,25,266,0,3,0,21,13,52,0,111,35
Justin Jefferson,20,309,0,8,1,42,14,70,1,103,25
Stefon Diggs,17,168,1,0,0,18,9,52.9,0,60,20
Tyreek Hill,16,255,3,5,1,47,14,87.5,0,62,24
Michael Pittman,16,153,1,1,0,39,8,50,1,78,23
T.J. Hockenson,15,101,2,1,0,24,7,46.7,0,47,17
CeeDee Lamb,15,220,0,5,1,49,10,66.7,1,103,17
Keenan Allen,14,187,2,2,1,42,7,50,0,47,19
Chris Olave,14,198,0,3,2,45,9,64.3,0,78,21
Tutu Atwell,13,196,0,2,1,44,12,92.3,0,39,17
Nico Collins,13,226,1,6,0,32,9,69.2,0,75,20
Zay Flowers,13,140,0,3,1,52,7,53.8,0,78,15
Davante Adams,12,150,1,1,0,21,9,75,0,24,17
Zach Ertz,12,77,0,0,0,17,3,25,0,24,18
Mike Evans,12,237,2,5,1,70,6,50,0,91,18
Christian Kirk,12,119,0,1,1,45,6,50,0,48,17
Amon-Ra St. Brown,12,173,1,3,0,39,7,58.3,1,44,16
Michael Thomas,12,116,0,1,0,25,6,50,0,8,17
Mike Williams,12,128,0,2,0,24,6,50,0,56,18
Robert Woods,12,131,0,1,0,25,8,66.7,0,38,19
Brandon Aiyuk,11,172,2,2,0,23,11,100,0,26,14
A.J. Brown,11,108,0,1,0,23,6,54.6,0,29,16
Evan Engram,11,106,0,1,0,26,6,54.6,0,77,13
Hunter Henry,11,108,2,0,0,13,7,63.6,0,13,13
DeAndre Hopkins,11,105,0,0,0,16,6,54.6,0,9,18
Deebo Samuel,11,118,0,2,0,23,6,54.6,1,63,16
DeVonta Smith,11,178,2,2,2,63,5,45.4,0,37,15
Kendrick Bourne,10,93,2,0,0,19,4,40,0,31,20
Ja'Marr Chase,10,70,0,0,0,13,5,50,0,44,17
Amari Cooper,10,127,0,2,0,23,8,80,0,9,17
Tank Dell,10,106,1,1,0,23,5,50,0,27,14
Chris Godwin,10,109,0,1,0,24,6,60,0,25,14
Sam LaPorta,10,102,0,1,0,23,6,60,0,55,11
Tyler Lockett,10,69,2,0,0,12,7,70,0,13,14
Calvin Ridley,10,133,1,3,0,29,6,60,1,39,19
Bijan Robinson,10,75,1,1,0,29,5,50,0,95,11
Saquon Barkley,9,41,1,0,0,10,4,44.4,0,40,11
Marquise Brown,9,82,1,1,0,22,7,77.8,0,19,15
Jahmyr Gibbs,9,57,0,0,0,10,3,33.3,0,48,11
Dalton Kincaid,9,69,0,0,0,14,2,22.2,0,38,10
Cole Kmet,9,82,0,0,0,15,4,44.4,0,50,13
DK Metcalf,9,122,1,1,0,28,6,66.7,0,18,11
Jakobi Meyers,9,81,2,1,0,21,5,55.6,0,17,10
George Pickens,9,163,1,3,1,71,4,44.4,0,79,17
Tony Pollard,9,49,0,0,0,19,3,33.3,1,45,11
Josh Reynolds,9,146,2,4,0,33,9,100,0,37,13
Rashid Shaheed,9,152,1,3,2,45,6,66.7,0,23,10
JuJu Smith-Schuster,9,61,0,0,0,15,3,33.3,0,28,13
Rhamondre Stevenson,9,74,0,1,0,32,4,44.4,0,82,9
Courtland Sutton,9,98,1,1,0,21,5,55.6,0,17,12
Adam Thielen,9,66,1,0,0,15,5,55.6,0,27,11
Darren Waller,9,112,0,2,0,25,6,66.7,0,37,13
Jaylen Warren,9,78,0,1,0,30,3,33.3,0,94,12
Tyler Boyd,8,62,0,0,0,13,3,37.5,0,24,11
James Cook,8,53,0,1,0,26,2,25,0,56,10
Gabe Davis,8,124,1,2,1,40,8,100,0,39,11
Jahan Dotson,8,62,0,0,0,18,4,50,0,10,12
Mike Gesicki,8,69,0,0,0,17,3,37.5,0,29,9
Tee Higgins,8,89,2,1,0,20,6,75,0,32,20
Hayden Hurst,8,61,1,0,0,14,3,37.5,0,20,10
