Player,Avg,Ret,Yds,PRet T,20+,40+,Lng,FC,FUM
Marvin Mims Jr.,45,1,45,0,1,1,45,2,0
Charlie Jones,26.2,4,105,1,1,1,81,1,0
Xavier Gipson,24.3,3,73,1,1,1,65,3,0
DeeJay Dallas,18,1,18,0,0,0,18,1,0
Jayden Reed,18,3,54,0,1,0,35,1,0
Jamal Agnew,15.8,4,63,0,1,1,48,0,0
Braxton Berrios,13.5,2,27,0,0,0,18,4,0
Tank Dell,13.5,2,27,0,0,0,14,2,0
Ray-Ray McCloud,13.5,4,54,0,0,0,19,2,0
Derius Davis,13.2,5,66,0,1,0,20,0,0
Kalif Raymond,11,3,33,0,0,0,17,3,0
Britain Covey,10.7,3,32,0,1,0,25,2,1
Eric Gray,10.5,2,21,0,0,0,14,1,0
Mike Hughes,10,2,20,0,0,0,16,1,0
Kyren Williams,9,2,18,0,0,0,11,2,0
KaVontae Turpin,8.5,2,17,0,0,0,10,4,0
Robert Woods,8.5,2,17,0,0,0,10,3,0
Calvin Austin III,8,2,16,0,0,0,14,2,0
Kearis Jackson,8,6,48,0,0,0,14,3,0
Trent Taylor,8,2,16,0,0,0,8,2,0
Rashid Shaheed,7.3,3,22,0,0,0,16,3,0
Marcus Jones,7,3,21,0,1,0,21,1,1
Isaiah McKenzie,6.7,3,20,0,0,0,16,3,0
Brandon Powell,6.2,6,37,0,1,0,20,1,1
Demario Douglas,6,2,12,0,0,0,12,1,0
Deven Thompkins,6,6,36,0,0,0,16,0,1
Ihmir Smith-Marsette,5.8,5,29,0,0,0,13,2,0
Donovan Peoples-Jones,5,3,15,0,0,0,6,5,0
Greg Dortch,4.8,5,24,0,0,0,13,3,0
Deonte Harty,4,1,4,0,0,0,4,4,0
Richie James,4,6,24,0,0,0,9,2,1
Scott Miller,4,1,4,0,0,0,4,0,0
Jamison Crowder,3.8,5,19,0,0,0,6,2,0
Devin Duvernay,2,1,2,0,0,0,2,3,0
Dee Alford,0,1,0,0,0,0,0,1,0
