Player,Rush Yds,Att,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
Christian McCaffrey,268,42,2,2,2,65,11,26.2,0
Bijan Robinson,180,29,0,1,0,21,11,37.9,0
D'Andre Swift,178,29,1,1,1,43,10,34.5,0
Nick Chubb,170,28,0,1,0,20,8,28.6,0
James Cook,169,29,0,1,0,36,8,27.6,0
James Conner,168,37,1,2,0,22,10,27,0
Raheem Mostert,158,28,3,1,1,43,8,28.6,0
Brian Robinson,146,37,2,1,0,27,13,35.1,0
Derrick Henry,143,40,1,1,0,23,9,22.5,0
Jerome Ford,142,31,0,1,1,69,4,12.9,1
Tony Pollard,142,39,2,2,0,25,8,20.5,0
David Montgomery,141,37,2,0,0,16,7,18.9,1
Breece Hall,136,14,0,2,1,83,2,14.3,1
Joshua Kelley,130,29,1,0,0,15,11,37.9,0
Tyler Allgeier,123,31,2,1,0,22,8,25.8,0
Austin Ekeler,117,16,1,1,1,55,4,25,0
Travis Etienne,117,30,1,1,0,26,4,13.3,0
Joe Mixon,115,26,0,1,0,22,6,23.1,0
Miles Sanders,115,32,0,0,0,13,4,12.5,1
Saquon Barkley,114,29,1,0,0,18,7,24.1,0
Rachaad White,112,34,1,0,0,13,7,20.6,0
Kenneth Walker III,107,29,2,0,0,15,8,27.6,0
Kyren Williams,104,29,3,0,0,9,9,31,0
Daniel Jones,102,22,1,0,0,15,8,36.4,1
Javonte Williams,96,25,0,0,0,15,4,16,0
Gus Edwards,94,18,1,1,0,20,7,38.9,0
Isiah Pacheco,93,20,0,1,0,31,6,30,0
Lamar Jackson,92,18,0,0,0,14,6,33.3,1
Zack Moss,88,18,1,0,0,11,4,22.2,0
Taysom Hill,79,12,0,0,0,19,5,41.7,0
Chuba Hubbard,76,11,0,1,0,21,7,63.6,0
Tyjae Spears,76,11,0,0,0,17,5,45.4,0
Patrick Mahomes,75,13,0,0,0,16,6,46.2,0
Anthony Richardson,75,13,3,0,0,18,5,38.5,0
Rhamondre Stevenson,75,27,1,0,0,12,6,22.2,0
AJ Dillon,74,28,0,0,0,8,3,10.7,0
Najee Harris,74,16,0,2,0,24,5,31.2,0
Jamaal Williams,74,27,0,0,0,11,3,11.1,1
Jalen Hurts,72,21,2,0,0,14,7,33.3,1
Dameon Pierce,69,26,0,0,0,10,1,3.8,0
Deshaun Watson,67,11,1,0,0,13,5,45.4,2
Justin Fields,62,13,1,0,0,10,3,23.1,1
Khalil Herbert,62,16,0,0,0,12,4,25,0
Alexander Mattison,62,19,0,0,0,9,1,5.3,1
