Team,3rd Att,3rd Md,4th Att,4th Md,Rush 1st,Rush 1st%,Scrm Plys
Falcons,0,0,0,0,143,24.9,0
Bills,0,0,0,0,128,24,0
Bears,0,0,0,0,104,19.9,0
Bengals,0,0,0,0,116,22.3,0
Browns,0,0,0,0,109,24.5,0
Cowboys,0,0,0,0,113,23.4,0
Broncos,0,0,0,0,90,18.2,0
Lions,0,0,0,0,94,19,0
Packers,0,0,0,0,132,24.2,0
Oilers,0,0,0,0,117,21.7,0
Colts,0,0,0,0,83,19,0
Chiefs,0,0,0,0,161,29,0
Rams,0,0,0,0,79,18.4,0
Raiders,0,0,0,0,98,20.5,0
Dolphins,0,0,0,0,125,23.8,0
Vikings,0,0,0,0,103,21.2,0
Patriots,0,0,0,0,102,22.1,0
Saints,0,0,0,0,129,23.3,0
Giants,0,0,0,0,120,21.4,0
Jets,0,0,0,0,135,23.2,0
Eagles,0,0,0,0,113,21.2,0
Cardinals,0,0,0,0,111,22.6,0
Steelers,0,0,0,0,69,15.3,0
Chargers,0,0,0,0,113,21.9,0
49ers,0,0,0,0,94,19.3,0
Seahawks,0,0,0,0,166,27,0
Buccaneers,0,0,0,0,136,23.1,0
Redskins,0,0,0,0,109,19.6,0
