Team,INT,INT TD,INT Yds,Lng
Rams,32,3,376,46T
Bengals,26,3,330,53
Redskins,26,0,190,32
Bears,24,2,215,37
Broncos,24,4,452,65
Lions,24,3,445,76T
Chiefs,23,0,161,29
Patriots,23,3,505,68
Steelers,22,0,262,55
Browns,21,1,234,39
Chargers,20,1,299,37T
Bills,19,1,293,101T
Vikings,19,0,213,41
Cardinals,19,1,243,38T
Falcons,18,0,207,42
Cowboys,16,0,133,29
Raiders,16,0,128,23
Colts,15,0,211,41
Seahawks,15,1,218,40T
Saints,12,3,212,83
Giants,12,0,62,11
Packers,11,2,197,67T
Oilers,11,0,176,50
Dolphins,11,0,144,40
Jets,11,0,146,31
Eagles,9,0,195,52
49ers,9,0,93,30
Buccaneers,9,0,99,26
