Team,KO,Yds,TB,TB %,Ret,Ret Avg,OSK,OSK Rec,OOB,TD
Chargers,103,6703,11,10.7,90,21.8,0,0,2,0
Bears,95,6187,11,11.6,83,20.8,0,0,1,0
Cowboys,89,5399,8,9,80,19.6,2,0,0,1
Colts,88,5735,10,11.4,78,26,0,0,0,2
Saints,85,5242,8,9.4,72,22.2,3,1,2,0
Bengals,84,5367,13,15.5,70,21,0,0,1,0
Jaguars,84,5478,21,25,60,21,1,0,2,0
Rams,84,5282,11,13.1,69,24.6,4,1,1,2
Eagles,83,5437,11,13.2,71,23.2,1,0,0,0
Ravens,82,5174,6,7.3,75,21.8,1,0,0,0
Patriots,82,5353,12,14.6,68,22.8,1,0,1,0
Chiefs,78,4850,5,6.4,71,23.2,2,0,1,0
Giants,78,5039,12,15.4,65,22.4,1,0,0,0
Cardinals,77,5165,17,22.1,58,25.5,1,1,1,0
Lions,76,5085,13,17.1,63,22.9,0,0,0,0
Steelers,76,4695,4,5.3,70,22.4,0,0,0,1
Broncos,75,5090,19,25.3,55,26.9,0,0,1,0
Seahawks,75,4871,12,16,61,24.6,1,0,1,0
Jets,74,4478,2,2.7,69,21.2,2,1,1,0
49ers,74,4495,5,6.8,65,21.1,4,3,1,0
Packers,72,4689,11,15.3,60,22.5,1,1,0,0
Redskins,72,4358,1,1.4,67,20.8,3,0,1,0
Titans,71,4391,10,14.1,58,21.8,1,0,3,0
Falcons,70,4533,13,18.6,53,20.6,3,2,1,0
Bills,70,4203,5,7.1,60,21.3,2,1,0,0
Panthers,67,4245,6,9,59,22.1,1,0,2,0
Dolphins,67,4393,24,35.8,40,24.5,3,1,1,0
Vikings,67,3961,3,4.5,59,23.2,4,1,2,1
Texans,64,4153,10,15.6,52,23.4,2,0,1,1
Browns,61,3887,11,18,48,21.9,2,0,0,1
Buccaneers,53,3296,4,7.6,46,18.4,0,0,2,0
Raiders,51,3305,7,13.7,42,28.6,1,0,1,0
