Team,Avg,Ret,Yds,PRet T,20+,40+,Lng,FC,FUM
Titans,12.6,37,467,3,6,3,90T,6,4
Bears,12.1,50,607,3,11,4,84T,12,7
Patriots,11.7,36,422,0,5,1,43,14,2
Lions,11.3,35,396,0,7,2,48T,18,5
Bills,10.8,39,422,1,8,1,82T,10,3
Texans,10.5,23,242,0,2,2,58T,15,0
Browns,10.3,36,371,0,4,2,81,16,2
Cardinals,10,25,250,0,3,0,37,13,4
Vikings,9.8,38,374,1,4,2,71T,9,3
Eagles,9.4,36,339,0,3,0,23,20,3
Dolphins,9.2,41,378,0,1,1,47,29,3
Broncos,9.2,32,294,0,4,1,42,16,3
Colts,9,23,207,1,1,1,82T,15,1
Redskins,8.8,39,342,1,4,1,87,11,1
Giants,8.7,33,288,0,3,0,38,15,2
Seahawks,8.6,49,424,1,3,1,90,16,2
Chargers,8.5,45,382,0,4,1,50,23,1
49ers,8.5,28,237,0,3,1,60,19,2
Cowboys,8.4,40,335,1,3,1,56T,17,1
Jets,8.4,29,243,0,1,0,38,17,3
Steelers,8.4,34,285,1,3,1,65T,22,5
Jaguars,8,45,361,0,2,0,29,22,2
Chiefs,8,33,264,1,4,1,60T,7,2
Packers,7.8,53,415,0,3,1,40,3,0
Ravens,7.8,45,351,0,3,2,65,7,2
Rams,7.8,30,234,0,3,0,33,20,2
Falcons,7.8,37,288,0,3,1,41,13,0
Saints,7.3,51,372,1,5,1,65T,14,1
Bengals,6.6,36,239,0,1,0,38,14,1
Buccaneers,6.5,54,353,0,0,0,18,9,3
Raiders,6.2,35,216,0,3,0,35,12,2
Panthers,4.6,49,225,0,1,0,24T,17,3
