Team,FGM,FG %,XPM,XP Pct,KRet TD,PRet T
Bears,32,88.9,47,100,2,3
Rams,32,86.5,35,100,0,0
Lions,29,87.9,30,100,0,0
49ers,29,82.9,29,100,0,0
Ravens,28,93.3,37,100,0,0
Cardinals,28,75.7,32,100,1,0
Broncos,27,93.1,34,100,0,0
Packers,26,74.3,31,96.9,0,0
Colts,26,89.7,47,97.9,0,1
Jaguars,26,81.2,41,100,1,0
Dolphins,26,72.2,22,100,0,0
Chargers,26,89.7,58,100,0,0
Bengals,25,83.3,40,95.2,0,0
Seahawks,25,80.6,36,100,0,1
Panthers,24,88.9,28,100,0,0
Chiefs,24,77.4,35,97.2,0,1
Jets,24,88.9,34,97.1,2,0
Falcons,23,71.9,31,100,0,0
Bills,23,92,33,100,0,1
Saints,23,88.5,46,97.9,0,1
Giants,23,85.2,38,100,0,0
Titans,22,78.6,32,100,0,3
Redskins,22,73.3,31,100,1,1
Browns,21,72.4,24,100,1,0
Vikings,21,84,27,96.4,0,1
Cowboys,20,71.4,49,100,0,1
Patriots,20,76.9,43,97.7,1,0
Steelers,20,74.1,38,100,0,1
Texans,19,76,26,96.3,0,0
Raiders,18,72,16,100,0,0
Eagles,18,78.3,48,100,0,0
Buccaneers,17,77.3,22,95.6,0,0
