Team,FGM,FG %,XPM,XP Pct,KRet TD,PRet T
Texans,37,88.1,39,95.1,0,0
Ravens,35,89.7,36,97.3,0,1
Rams,34,82.9,51,96.2,0,0
Jets,33,91.7,30,90.9,1,1
49ers,33,97.1,27,93.1,1,0
Giants,32,97,31,96.9,0,0
Packers,30,81.1,34,94.4,0,0
Cowboys,29,80.6,32,97,0,0
Lions,28,87.5,30,100,0,0
Saints,28,93.3,52,98.1,0,0
Raiders,27,84.4,27,96.4,0,1
Patriots,27,84.4,49,98,1,0
Titans,26,86.7,28,90.3,1,0
Eagles,26,83.9,33,94.3,0,0
Redskins,26,89.7,25,96.2,0,0
Falcons,25,96.2,41,95.4,0,0
Chiefs,24,88.9,65,94.2,0,1
Chargers,24,82.8,36,83.7,0,1
Bears,23,76.7,42,93.3,0,0
Colts,23,85.2,44,93.6,0,0
Jaguars,23,88.5,22,95.6,0,1
Bills,22,78.6,25,96.2,0,0
Vikings,22,68.8,36,97.3,0,0
Seahawks,22,81.5,48,94.1,0,0
Broncos,20,80,35,100,0,0
Buccaneers,20,74.1,40,90.9,0,0
Panthers,19,90.5,37,90.2,0,0
Bengals,19,82.6,39,95.1,0,0
Browns,19,76,28,82.4,0,0
Dolphins,18,90,35,97.2,1,1
Steelers,16,69.6,44,89.8,0,0
Cardinals,12,70.6,23,95.8,0,0
