Team,Rsh TD,Rec TD,Tot TD,2-PT
Saints,30,28,59,0
Titans,26,33,61,4
Ravens,24,27,52,2
Cardinals,22,27,49,0
Browns,21,27,50,2
Colts,20,24,50,3
Raiders,20,28,48,1
Vikings,20,35,55,8
Patriots,20,12,35,1
Panthers,19,16,35,1
Rams,19,20,42,1
49ers,19,25,45,1
Football Team,18,16,36,0
Lions,17,27,45,2
Bills,16,40,59,0
Packers,16,48,65,2
Eagles,16,22,41,7
Buccaneers,16,42,59,0
Dolphins,15,24,40,4
Seahawks,15,40,55,1
Cowboys,14,25,40,4
Falcons,13,27,41,1
Bengals,13,19,33,0
Broncos,13,21,35,2
Chiefs,13,40,57,3
Giants,13,12,26,2
Bears,12,26,39,2
Steelers,12,35,50,2
Chargers,12,31,45,2
Texans,10,33,44,1
Jaguars,9,25,37,3
Jets,9,16,26,1
