Team,INT,INT TD,INT Yds,Lng
Patriots,25,4,419,59
Packers,24,3,318,64
Eagles,23,1,182,40T
Falcons,22,2,337,40
Bears,21,1,332,56T
Steelers,21,3,248,79
Cowboys,20,3,302,101
Ravens,19,3,289,44
Browns,19,2,320,64
Buccaneers,19,3,339,64
Panthers,17,1,285,66T
Titans,17,1,198,41T
Cardinals,17,3,424,66
Bengals,16,1,200,56T
Giants,16,0,110,36
Chargers,16,3,240,41
Vikings,15,1,152,41T
Niners,15,3,239,62
Lions,14,2,194,42
Chiefs,14,3,204,54
Rams,14,0,161,34
Redskins,14,1,199,92T
Texans,13,0,90,23
Jaguars,13,0,105,47
Raiders,12,2,105,30
Jets,12,3,214,66
Seahawks,12,2,168,34
Bills,11,2,210,56
Dolphins,11,0,66,21
Broncos,10,0,118,36
Colts,10,2,206,44T
Saints,9,2,196,96T
