Team,FR TD,SFTY,INT TD
Falcons,1,0,2
Bengals,1,0,1
Cowboys,1,0,3
Ravens,0,0,3
Bills,0,0,2
Panthers,0,1,1
Bears,0,0,1
Browns,0,0,2
Broncos,0,0,0
Lions,0,0,2
Packers,0,0,3
Titans,0,1,1
Texans,0,0,0
Colts,0,0,2
Jaguars,0,0,0
Chiefs,0,0,3
Rams,0,1,0
Raiders,0,2,2
Dolphins,0,0,0
Vikings,0,0,1
Patriots,0,0,4
Saints,0,0,2
Giants,0,0,0
Jets,0,2,3
Eagles,0,0,1
Cardinals,0,0,3
Steelers,0,0,3
Chargers,0,1,3
Niners,0,0,3
Seahawks,0,1,2
Buccaneers,0,0,3
Redskins,0,0,1
