Team,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM
Chiefs,23.9,61,1456,0,0,0,66,0,0
Steelers,23.7,44,1043,1,0,0,95T,0,0
Browns,23.6,72,1697,0,0,0,86,0,0
Redskins,23.3,58,1352,1,0,0,99T,0,0
Broncos,22.7,42,952,0,0,0,41,0,0
Falcons,22.6,59,1332,1,0,0,100T,0,0
Seahawks,22.5,67,1510,0,0,0,38,0,0
Jets,22.5,67,1509,0,0,0,40,0,0
Oilers,22.5,58,1304,0,0,0,60,0,0
Colts,22.3,74,1648,1,0,0,90T,0,0
Bears,22.3,61,1358,0,0,0,81,0,0
Lions,22.1,51,1129,0,0,0,60,0,0
Chargers,21.6,58,1252,0,0,0,77,0,0
Dolphins,21.4,53,1132,0,0,0,53,0,0
Patriots,21.3,55,1172,0,0,0,60,0,0
Saints,21.3,65,1384,0,0,0,39,0,0
Eagles,21,54,1134,0,0,0,44,0,0
Packers,20.9,52,1085,1,0,0,95T,0,0
Cardinals,20.9,55,1148,0,0,0,32,0,0
Raiders,20.6,60,1233,0,0,0,56,0,0
Rams,20.3,52,1055,0,0,0,41,0,0
Bengals,20.1,58,1164,0,0,0,39,0,0
Bills,19.9,66,1316,1,0,0,102T,0,0
Buccaneers,19.6,56,1095,0,0,0,46,0,0
49ers,19.5,73,1421,1,0,0,89T,0,0
Vikings,19.2,55,1057,0,0,0,38,0,0
Cowboys,19.1,47,896,0,0,0,56,0,0
Giants,18,60,1081,0,0,0,40,0,0
