Team,FGM,FG %,XPM,XP Pct,KRet TD,PRet T
Chiefs,30,71.4,26,100,0,0
Vikings,30,65.2,35,100,0,0
Rams,29,64.4,34,100,1,0
Bengals,25,67.6,33,100,1,1
Giants,25,61,32,100,0,1
Dolphins,22,73.3,33,100,1,1
49ers,21,67.7,39,95.1,0,0
Bears,20,58.8,28,100,4,0
Lions,20,69,41,100,1,1
Cardinals,20,62.5,37,97.4,0,1
Redskins,20,74.1,33,97.1,0,0
Colts,19,55.9,36,94.7,1,1
Jets,19,54.3,28,100,0,0
Cowboys,18,66.7,35,100,1,0
Broncos,18,56.2,27,96.4,0,0
Oilers,18,56.2,23,100,0,0
Saints,18,52.9,16,94.1,0,0
Raiders,16,55.2,36,100,0,1
Packers,15,53.6,19,90.5,2,0
Eagles,14,56,25,89.3,0,0
Browns,12,54.6,34,97.1,1,0
Chargers,12,63.2,34,97.1,0,0
Bills,10,52.6,24,96,2,0
Steelers,10,35.7,24,96,0,0
Falcons,9,36,23,88.5,0,2
Patriots,8,36.4,17,94.4,0,0
