Team,Rsh TD,Rec TD,Tot TD,2-PT
Bears,22,14,38,0
Bills,20,28,52,0
Raiders,20,19,40,0
Broncos,19,15,35,0
Lions,19,24,44,0
Seahawks,18,15,33,0
Rams,17,24,43,0
Giants,17,18,38,0
Bengals,16,25,43,0
Jets,16,14,31,0
Redskins,16,22,40,0
Saints,14,15,30,0
Chargers,14,18,34,0
Cowboys,13,12,27,0
Dolphins,13,21,37,0
Cardinals,13,16,31,0
49ers,12,28,40,0
Falcons,11,21,38,0
Chiefs,11,23,37,0
Steelers,11,20,33,0
Browns,10,13,26,0
Oilers,10,37,48,0
Vikings,10,25,37,0
Eagles,10,34,47,0
Colts,9,22,32,0
Buccaneers,7,18,28,0
Packers,5,20,28,0
Patriots,4,14,18,0
