Team,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM
Chiefs,25.4,62,1577,2,36,10,100,0,2
Jets,24.4,60,1461,1,43,5,90T,1,0
Bears,23.8,73,1738,2,37,6,89T,0,2
Patriots,23.8,60,1428,1,37,5,92T,1,0
Packers,23.6,64,1511,0,41,5,60,0,0
Colts,23.6,64,1510,0,42,5,90,0,0
Cardinals,22.9,82,1881,1,47,4,100T,0,0
Lions,22.6,70,1584,1,36,3,96T,0,2
Redskins,22.4,66,1482,1,40,3,94T,1,1
Panthers,22.4,60,1345,1,33,4,100,1,4
Broncos,22.1,59,1302,0,35,1,83,0,2
Bills,21.7,63,1369,0,39,3,75,0,0
Cowboys,21.5,60,1292,1,32,1,54T,0,3
Chargers,21.5,84,1804,0,49,3,60,0,1
Ravens,21.4,57,1222,0,28,4,75,0,2
Eagles,21.3,65,1387,0,38,4,54,0,1
Rams,21.3,70,1488,0,45,3,42,0,2
Texans,21.2,80,1700,0,44,4,70,0,0
Saints,21.2,72,1524,0,40,3,53T,0,5
Browns,21.1,71,1501,0,37,3,69,0,2
Dolphins,21.1,57,1202,0,31,1,49T,0,0
Seahawks,20.9,64,1336,0,34,1,56,0,1
Raiders,20.7,77,1596,1,37,2,85T,0,0
49ers,20.7,64,1327,1,32,2,95T,0,0
Steelers,20.7,68,1405,0,34,3,53,0,2
Vikings,20.1,71,1428,0,33,4,48T,0,1
Bengals,19.9,74,1474,0,36,1,46,0,2
Falcons,19.9,79,1572,0,47,2,52,0,4
Giants,19.9,75,1492,0,40,0,36,0,2
Jaguars,19.6,67,1316,0,38,1,61,0,2
Titans,19.1,68,1299,0,35,0,39,0,2
Buccaneers,19,55,1042,0,25,1,44,1,1
