Team,KO,Yds,TB,TB %,Ret,Ret Avg,OSK,OSK Rec,OOB,TD
Colts,99,5955,4,4,93,21.5,2,1,0,2
Rams,97,6316,12,12.4,83,23.9,1,1,1,2
Titans,94,5452,6,6.4,81,18.8,2,0,4,0
Chiefs,93,5840,6,6.4,87,23.5,0,0,0,0
Packers,92,5393,4,4.4,82,20.8,3,1,5,1
Ravens,88,5598,15,17,70,21.4,2,0,2,1
Broncos,86,5583,13,15.1,73,23,0,0,0,0
49ers,85,5075,3,3.5,77,21.3,1,0,4,0
Seahawks,84,5059,3,3.6,79,20.6,0,0,2,0
Eagles,83,5251,8,9.6,74,21.5,1,0,1,1
Vikings,82,4956,2,2.4,75,21.4,2,1,3,0
Patriots,80,5030,2,2.5,77,21.1,0,0,0,0
Panthers,78,4755,4,5.1,70,20.4,2,0,1,0
Bengals,77,4792,4,5.2,71,20.7,0,0,2,0
Falcons,74,4598,7,9.5,62,19.4,4,0,2,0
Dolphins,74,4829,24,32.4,47,21.5,2,0,2,0
Saints,73,4538,3,4.1,67,23.7,3,1,1,2
Jets,72,4312,1,1.4,71,21.1,0,0,0,0
Steelers,72,4524,5,6.9,66,20.6,0,0,1,1
Redskins,72,4426,11,15.3,60,20.6,2,1,0,0
Bears,69,3979,1,1.4,64,21.4,3,1,1,1
Chargers,69,4041,0,0,67,21.4,1,0,1,1
Cowboys,68,4275,2,2.9,66,21.9,0,0,0,0
Buccaneers,67,4116,5,7.5,59,23.6,2,1,2,0
Lions,66,4240,10,15.2,53,24.8,2,0,1,1
Jaguars,66,3742,3,4.6,58,21.2,3,0,1,0
Raiders,66,4150,7,10.6,57,25.9,0,0,2,0
Browns,65,3964,3,4.6,60,20.5,1,0,2,0
Texans,62,3946,8,12.9,53,21.7,1,0,0,0
Giants,61,3687,2,3.3,56,20.1,1,0,2,0
Cardinals,61,3633,8,13.1,48,21.7,4,1,1,0
Bills,60,3632,3,5,55,19.6,1,0,1,0
