Player,Pass Yds,Yds/Att,Att,Cmp,Cmp %,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,SckY
Dan Marino,4746,7.6,623,378,60.7,44,23,92.6,245,39.3,59,14,85,17,119
Jay Schroeder,4109,7.6,541,276,51,22,22,72.9,178,32.9,67,18,71,28,240
Boomer Esiason,3959,8.4,469,273,58.2,24,17,87.7,177,37.7,67,12,57,26,194
Bernie Kosar,3854,7.3,531,310,58.4,17,10,83.8,172,32.4,52,11,72,39,274
Ken O'Brien,3690,7.7,482,300,62.2,25,20,85.8,167,34.6,39,12,83,40,353
Jim Kelly,3593,7.5,480,285,59.4,22,17,83.3,152,31.7,43,11,84,43,330
Warren Moon,3489,7.2,488,256,52.5,13,26,62.3,159,32.6,61,7,81,41,332
Phil Simms,3487,7.4,468,259,55.3,21,22,74.6,169,36.1,52,4,49,45,359
John Elway,3485,6.9,504,280,55.6,19,13,79,168,33.3,47,8,53,32,233
Tony Eason,3328,7.4,448,276,61.6,19,10,89.2,162,36.2,45,5,49,43,336
Randy Wright,3247,6.6,492,263,53.5,17,23,66.2,153,31.1,38,8,62,33,243
Dan Fouts,3031,7,430,252,58.6,16,22,71.4,157,36.5,41,2,65,21,173
Tommy Kramer,3000,8.1,372,208,55.9,24,10,92.6,131,35.2,40,9,76,31,178
Dave Krieg,2921,7.8,375,225,60,21,11,91,137,36.5,39,9,72,35,281
Steve Pelluer,2727,7.2,378,215,56.9,8,17,67.9,133,35.2,36,6,84,47,362
Neil Lomax,2583,6.1,421,240,57,13,12,73.6,122,29,23,3,48,52,381
Mark Malone,2444,5.8,425,216,50.8,15,18,62.5,128,30.1,23,3,48,13,97
Dave Wilson,2353,6.9,342,189,55.3,10,17,65.8,115,33.6,33,3,63,22,191
Steve Young,2282,6.3,363,195,53.7,8,13,65.5,109,30,29,6,46,47,326
Joe Montana,2236,7.3,307,191,62.2,8,9,80.8,111,36.2,22,8,48,12,95
Jack Trudeau,2225,5.3,417,204,48.9,8,18,53.5,109,26.1,21,6,84,29,213
David Archer,2007,6.8,294,150,51,10,9,71.6,95,32.3,29,5,65,34,249
Jim Plunkett,1986,7.9,252,133,52.8,14,9,82.5,89,35.3,32,11,81,27,215
Bill Kenney,1922,6.2,308,161,52.3,13,11,70.8,99,32.1,22,4,53,25,180
Eric Hipple,1919,6.3,305,192,63,9,11,75.6,100,32.8,17,1,46,21,153
Marc Wilson,1721,7.2,240,129,53.8,12,15,67.4,83,34.6,24,5,57,34,227
Jeff Kemp,1554,7.8,200,119,59.5,11,8,85.7,75,37.5,16,7,66,8,56
Ron Jaworski,1405,5.7,245,128,52.2,8,6,70.2,68,27.8,18,1,56,22,156
Randall Cunningham,1391,6.7,209,111,53.1,8,7,72.9,64,30.6,14,3,75,72,489
Todd Blackledge,1200,5.7,211,96,45.5,10,6,67.6,54,25.6,16,6,70,25,192
Wade Wilson,1165,8.2,143,80,55.9,7,5,84.4,55,38.5,17,0,39,13,94
Danny White,1157,7.6,153,95,62.1,12,5,97.9,62,40.5,13,2,63,10,98
Gary Hogeboom,1154,8,144,85,59,6,6,81.2,55,38.2,20,2,60,18,144
Mike Tomczak,1105,7.3,151,74,49,2,10,50.2,45,29.8,19,5,85,4,30
Turk Schonert,1032,6.7,154,95,61.7,4,8,68.4,44,28.6,15,1,41,21,206
Jim Everett,1018,6.9,147,73,49.7,8,8,67.8,46,31.3,17,2,60,8,50
Jim McMahon,995,6.6,150,77,51.3,5,8,61.4,40,26.7,15,5,58,6,40
Steve Grogan,976,9.6,102,62,60.8,9,2,113.8,39,38.2,16,5,69,4,31
Joe Ferguson,941,6.1,155,73,47.1,7,7,62.9,42,27.1,16,3,73,10,101
Steve Dils,693,5.4,129,59,45.7,4,4,60,30,23.3,9,1,65,7,44
Steve Bartkowski,654,5.2,126,61,48.4,2,3,59.4,29,23,7,1,42,11,84
Mark Herrmann,627,6.5,97,51,52.6,2,3,66.8,32,33,9,0,28,5,43
Steve DeBerg,610,6.4,96,50,52.1,5,12,49.7,36,37.5,7,1,45,9,68
Cliff Stoudt,542,6,91,52,57.1,3,7,53.5,26,28.6,7,0,24,7,43
Bobby Hebert,498,6.3,79,41,51.9,2,8,40.4,20,25.3,3,2,84,5,34
Mike Moroski,493,6.8,73,42,57.5,2,3,70.2,26,35.6,5,1,52,6,52
Gale Gilbert,485,6.4,76,42,55.3,3,3,71.4,21,27.6,8,0,38,4,34
Steve Fuller,451,7,64,34,53.1,2,4,60.1,19,29.7,5,2,50,8,53
Matt Cavanaugh,397,6.8,58,28,48.3,2,4,53.6,17,29.3,6,3,49,9,56
Tom Flick,361,5,73,33,45.2,2,8,29.9,21,28.8,3,0,26,6,49
Doug Flutie,361,7.8,46,23,50,3,2,80.1,14,30.4,6,2,58,6,30
Pat Ryan,342,6.2,55,34,61.8,2,1,84,22,40,4,0,36,5,33
Oliver Luck,341,5.7,60,31,51.7,1,5,39.6,17,28.3,3,0,27,7,62
Bubby Brister,291,4.8,60,21,35,0,2,37.6,13,21.7,3,1,58,6,57
Vince Ferragamo,283,7.1,40,23,57.5,1,3,56.6,12,30,5,1,50,3,15
Rusty Hilger,266,7,38,19,50,1,1,70.7,14,36.8,3,1,54,3,22
Gary Kubiak,249,6.6,38,23,60.5,1,3,55.7,13,34.2,5,0,26,3,23
Chuck Long,247,6.2,40,21,52.5,2,2,67.4,13,32.5,4,0,34,8,69
Blair Kiel,236,9.4,25,11,44,2,0,104.8,10,40,4,1,50,5,42
Chuck Fusina,178,5.6,32,19,59.4,0,1,61.7,7,21.9,2,1,42,1,3
Ken Anderson,171,7.4,23,11,47.8,1,2,51.2,6,26.1,3,1,43,1,4
Don Strock,152,7.6,20,14,70,2,0,125.4,9,45,1,0,21,0,0
Frank Reich,104,5.5,19,9,47.4,0,2,24.8,4,21,1,0,37,2,4
Reggie Collier,96,6.4,15,8,53.3,1,2,55.8,4,26.7,1,0,27,3,38
Keith Byars,55,27.5,2,1,50,1,0,135.4,1,50,1,1,55,1,7
Mike Pagel,53,17.7,3,2,66.7,0,0,109.7,1,33.3,1,1,45,0,0
Herman Fontenot,46,46,1,1,100,1,0,158.3,1,100,1,1,46,0,0
Chris Norman,43,43,1,1,100,1,0,158.3,1,100,1,1,43,0,0
Brian Brennan,35,35,1,1,100,0,0,118.8,1,100,1,0,35,0,0
Doug Gaynor,30,10,3,3,100,0,0,108.3,1,33.3,0,0,16,1,5
Jeff Gossett,30,15,2,1,50,0,1,56.2,1,50,1,0,30,0,0
Dalton Hilliard,29,9.7,3,1,33.3,1,0,109.7,1,33.3,1,0,29,0,0
Mike Renfro,23,23,1,1,100,0,0,118.8,1,100,1,0,23,0,0
Steve Sewell,23,23,1,1,100,1,0,158.3,1,100,1,0,23,3,17
Pete Holohan,21,10.5,2,1,50,0,0,87.5,1,50,1,0,21,0,0
Steve Largent,18,18,1,1,100,0,0,118.8,1,100,0,0,18,0,0
Alfred Anderson,17,8.5,2,1,50,0,0,79.2,1,50,0,0,17,0,0
Jerry Rice,16,8,2,1,50,0,0,77.1,1,50,0,0,16,0,0
Eric Dickerson,15,15,1,1,100,1,0,158.3,1,100,0,0,15,0,0
Stump Mitchell,15,5,3,1,33.3,1,0,90.3,1,33.3,0,0,15,0,0
Mike Rozier,13,13,1,1,100,0,0,118.8,1,100,0,0,13,0,0
Jeff Rutledge,13,4.3,3,1,33.3,1,0,87.5,1,33.3,0,0,13,0,0
Frank Wattelet,13,13,1,1,100,0,0,118.8,1,100,0,0,13,0,0
Harry Newsome,12,6,2,1,50,1,0,108.3,1,50,0,0,12,0,0
Gerald Willhite,11,2.8,4,1,25,0,0,39.6,1,25,0,0,11,0,0
Craig James,10,2.5,4,1,25,1,1,39.6,1,25,0,0,10,0,0
Scott Campbell,7,1,7,1,14.3,0,0,39.6,0,0,0,0,7,2,14
Tom Ramsey,7,2.3,3,1,33.3,0,0,42.4,0,0,0,0,7,0,0
Gary Anderson,4,4,1,1,100,1,0,122.9,1,100,0,0,4,0,0
Steve Bono,3,3,1,1,100,0,0,79.2,0,0,0,0,3,0,0
Buford McGee,1,1,1,1,100,0,0,79.2,0,0,0,0,1,0,0
Evan Arapostathis,0,0,1,0,0,0,0,39.6,0,0,0,0,0,0,0
Albert Bentley,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
James Brooks,0,0,1,0,0,0,0,39.6,0,0,0,0,0,0,0
Tony Galbreath,0,0,1,0,0,0,0,39.6,0,0,0,0,0,1,8
Ernest Givins,0,0,2,0,0,0,0,39.6,0,0,0,0,0,0,0
Boyce Green,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Kevin House,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6
Jim Jensen,0,0,2,0,0,0,0,39.6,0,0,0,0,0,0,0
Vance Johnson,0,0,1,0,0,0,0,39.6,0,0,0,0,0,0,0
Steve Kreider,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
James Lofton,0,0,1,0,0,0,0,39.6,0,0,0,0,0,0,0
Henry Marshall,0,0,1,0,0,0,0,39.6,0,0,0,0,0,0,0
Randall Morris,0,0,1,0,0,0,0,39.6,0,0,0,0,0,0,0
Walter Payton,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0
Allen Rice,0,0,1,0,0,0,0,39.6,0,0,0,0,0,0,0
Gerald Riggs,0,0,1,0,0,0,0,39.6,0,0,0,0,0,0,0
Doug Williams,0,0,1,0,0,0,0,39.6,0,0,0,0,0,0,0
