Player,Avg,Net Avg,Net Yds,Punts,Lng,Yds,IN 20,OOB,Dn,TB,FC,Ret,RetY,TD,P Blk
Rohn Stark,45.2,37.2,2830,76,63,3432,22,6,12,5,5,48,502,1,0
Sean Landeta,44.8,37.1,2933,79,61,3539,24,2,11,11,14,41,386,0,0
Reggie Roby,44.2,37.4,2096,56,73,2476,13,3,6,9,15,23,200,0,0
Rick Donnelly,43.9,35.4,2764,79,71,3421,19,7,3,9,12,47,477,3,1
Steve Cox,43.6,36.4,2731,75,58,3271,21,4,9,16,10,36,220,0,0
Ron Springs,43,39,39,1,43,43,0,0,0,0,0,1,4,0,0
Brian Hansen,42.7,37.1,3002,82,66,3456,17,7,15,11,11,37,234,0,1
Jim Arnold,42.6,32.9,1186,37,60,1533,7,1,9,4,4,18,267,1,1
Rich Camarillo,42.1,34.2,3041,92,64,3746,16,11,7,7,4,60,565,0,3
Ralf Mojsiejenko,42,33.9,2438,74,62,3026,15,8,8,11,3,42,368,1,2
John Teltschik,41.6,33.9,3662,109,62,4493,20,7,16,10,13,62,631,2,1
Max Runager,41.6,35.1,2917,85,62,3450,23,5,9,8,12,49,373,0,2
Bill Renner,41.5,36.7,550,18,50,622,2,1,2,1,0,11,52,0,3
Greg Coleman,41.4,34.9,2341,67,69,2774,15,5,11,4,8,39,353,0,0
Maury Buford,41.3,37.4,2580,70,59,2850,20,16,8,8,14,23,110,0,1
Jeff Gossett,41.2,35.6,2955,83,61,3423,21,10,8,10,11,44,268,0,0
Lee Johnson,41.2,35.7,3140,88,66,3623,26,6,12,9,21,40,303,0,0
Mike Horan,41.1,34.5,725,21,50,864,8,3,0,2,5,11,99,0,0
Lewis Colbert,40.7,33.8,3341,99,56,4033,23,14,8,6,19,52,572,1,0
Mike Saxon,40.7,34.8,2997,87,58,3498,28,5,15,10,15,41,301,0,1
John Kidd,40.4,34.6,2591,75,57,3031,14,9,13,9,12,32,260,0,0
Ray Guy,40.2,33.8,3043,90,64,3620,20,9,9,11,19,42,357,1,0
Frank Garcia,40.1,32.7,2519,77,60,3089,19,9,7,8,15,38,410,3,0
Harry Newsome,40.1,33.3,2863,89,64,3447,18,11,16,11,14,34,364,0,3
Don Bracken,40,34,1868,57,63,2203,6,4,8,5,5,33,235,0,2
Mike Black,39.5,31.9,1469,47,57,1819,11,6,4,5,10,21,250,1,1
Jack Weil,39.5,32.8,1115,34,55,1344,5,5,4,3,2,20,169,0,0
Dave Jennings,39.4,36.1,3068,85,55,3353,27,9,17,6,17,36,165,0,0
Chris Norman,38.9,33.1,994,31,57,1168,2,3,5,4,9,9,94,0,1
Vince Gamache,38.6,33,2610,79,55,3048,10,10,3,7,21,38,298,0,0
Dale Hatcher,38.6,33.2,3224,98,57,3740,26,2,13,5,30,47,416,0,1
Evan Arapostathis,38,32.5,974,30,50,1140,5,6,2,0,2,20,166,0,0
Blair Kiel,38,31.8,159,5,43,190,0,0,0,0,1,4,31,0,0
Wade Wilson,38,36.5,73,3,46,76,0,0,0,0,1,1,3,0,1
Greg Cater,37.2,33.8,2061,62,52,2271,16,6,9,4,18,24,130,0,1
Eddie Murray,37,17,17,1,37,37,0,0,0,1,0,0,0,0,0
Tony Zendejas,36,36,36,1,36,36,1,0,1,0,0,0,0,0,0
Jeff Hayes,35.1,30.8,1723,58,52,1965,11,12,8,3,14,19,182,0,2
Wes Chandler,33.4,33,165,5,38,167,0,0,2,0,2,1,2,0,0
Boomer Esiason,31,31,31,1,31,31,1,0,1,0,0,0,0,0,0
Randall Cunningham,27,25.5,51,2,39,54,0,0,1,0,0,1,3,0,0
Chuck Nelson,24,24,72,3,31,72,0,2,0,0,1,0,0,0,0
