Player,Rush Yds,Att,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
Eric Dickerson,1821,404,11,10,2,42,98,24.3,11
Joe Morris,1516,341,14,11,3,54,73,21.4,6
Curt Warner,1481,319,13,8,1,60,75,23.5,5
Rueben Mayes,1353,286,8,12,1,50,63,22,4
Walter Payton,1333,321,8,3,1,41,77,24,6
Gerald Riggs,1327,343,9,2,0,31,91,26.5,6
George Rogers,1203,303,18,4,2,42,78,25.7,7
James Brooks,1087,205,5,10,4,56,38,18.5,2
Earnest Jackson,910,216,5,4,0,31,47,21.8,3
James Jones,903,252,8,1,0,39,64,25.4,4
Walter Abercrombie,877,214,6,4,0,38,45,21,2
Freeman McNeil,856,214,5,3,1,40,50,23.4,8
Roger Craig,830,204,7,3,0,25,50,24.5,2
Lorenzo Hampton,830,186,9,5,3,54,49,26.3,4
Stump Mitchell,800,174,5,8,1,44,46,26.4,4
Darrin Nelson,793,191,4,5,1,42,44,23,3
Sammy Winder,789,240,9,4,0,31,41,17.1,2
Marcus Allen,759,208,5,4,0,28,36,17.3,6
Tony Dorsett,748,184,5,4,0,33,31,16.8,5
Herschel Walker,737,151,12,4,1,84,40,26.5,4
James Wilder,704,190,2,5,1,45,32,16.8,8
Garry James,688,159,3,4,2,60,23,14.5,3
Kevin Mack,665,174,10,1,0,20,45,25.9,4
Mike Rozier,662,199,4,0,0,19,44,22.1,5
Robb Riddick,632,150,4,3,1,41,34,22.7,6
Randy McMillan,609,189,3,1,0,28,29,15.3,5
Johnny Hector,605,164,8,1,1,41,37,22.6,2
Joe Cribbs,590,152,5,0,0,19,33,21.7,5
Keith Byars,577,177,1,1,0,32,28,15.8,3
Earl Ferrell,548,124,0,3,0,25,29,23.4,6
Randall Cunningham,540,66,5,2,0,20,38,57.6,4
John L. Williams,538,129,0,4,0,36,32,24.8,1
Napoleon McCallum,536,142,1,0,0,18,31,21.8,4
Curtis Dickey,523,135,6,3,1,47,28,20.7,4
Kenneth Davis,519,114,0,3,1,50,26,22.8,0
Larry Kinnebrew,519,131,8,2,0,39,39,29.8,5
Barry Redden,467,110,4,1,1,41,26,23.6,1
Mike Pruitt,448,139,2,0,0,16,29,20.9,0
Gary Anderson,442,127,1,0,0,17,26,20.5,0
Craig James,427,154,4,0,0,16,26,16.9,4
Dalton Hilliard,425,121,5,1,0,36,27,22.3,3
Steve Young,425,74,5,2,0,31,30,40.5,8
Tony Collins,412,156,3,0,0,17,16,10.3,3
Stanley Wilson,379,68,8,3,1,58,23,33.8,1
Greg Bell,377,90,4,2,1,42,23,25.6,1
Curtis Adams,366,118,4,1,0,22,18,15.2,3
Gerald Willhite,365,85,5,2,1,42,19,22.4,2
Albert Bentley,351,73,3,2,1,70,17,23.3,2
Tim Spencer,350,99,6,1,0,23,25,25.2,2
Alfred Anderson,347,83,2,1,0,29,22,26.5,3
Gerry Ellis,345,84,2,1,0,24,18,21.4,3
Nathan Wonsley,339,73,3,3,2,59,15,20.6,2
Ron Davenport,314,75,0,2,0,35,14,18.7,1
Boyce Green,314,90,3,1,0,27,14,15.6,2
Paul Ott Carruth,308,81,2,3,1,42,21,25.9,1
David Archer,298,52,0,2,0,22,12,23.1,3
