Player,Avg,Ret,Yds,PRet T,20+,40+,Lng,FC,FUM
Mike Harden,41,1,41,1,1,1,41,0,0
Eric Yarber,15.9,9,143,0,3,1,44,4,0
Gary Clark,14,1,14,0,0,0,14,3,0
James Pruitt,13.6,11,150,1,2,1,71,1,4
Jo-Jo Townsell,13,4,52,0,1,0,28,1,0
Bobby Joe Edmonds,12.3,34,419,1,4,2,75,14,4
Vai Sikahema,12.1,43,522,2,5,3,71,16,1
Vance Johnson,12,3,36,0,0,0,19,0,1
Fred Marion,12,1,12,0,0,0,12,1,0
Gerald Willhite,11.1,42,468,1,4,1,70,8,2
Gregg Garrity,11,17,187,1,1,1,76,7,0
Billy Johnson,10.9,8,87,0,1,0,30,8,0
Ron Pitts,10.8,18,194,1,2,1,49,11,1
Irving Fryar,10.5,35,366,1,4,2,59,10,3
Lionel James,10.4,9,94,0,1,0,21,6,0
Ray Horton,10.1,11,111,0,1,0,25,3,2
Ernest Givins,10,8,80,0,0,0,17,0,0
Darrell Green,10,12,120,0,1,0,23,2,1
Don Griffin,9.9,38,377,1,4,1,76,18,3
Pete Mandley,9.8,43,420,1,4,1,81,9,2
Ken Jenkins,9.6,28,270,0,1,0,39,11,2
Walter Stanley,9.6,33,316,1,4,2,83,7,1
Eric Martin,9.5,24,227,0,2,0,39,9,3
Gary Anderson,9.1,25,227,0,2,0,30,10,3
Henry Ellard,9.1,14,127,0,1,0,20,10,2
Fulton Walker,9,49,440,1,3,1,70,15,3
Rick Woods,8.9,33,294,0,2,2,41,12,2
Johnnie Poe,8.9,8,71,0,0,0,17,3,0
Gerald McNeil,8.7,40,348,1,2,1,84,10,3
Evan Cooper,8.7,16,139,0,1,1,58,7,2
Lew Barnes,8.5,57,482,0,4,0,35,9,5
Jeff Smith,8.4,29,245,0,1,1,48,11,2
Mickey Sutton,8.4,28,234,0,2,0,32,5,0
Kurt Sohn,8.3,35,289,0,3,0,27,8,3
Sylvester Stamps,8,1,8,0,0,0,8,0,0
Phil McConkey,7.9,32,253,0,2,0,22,12,1
Bill Brooks,7.8,18,141,0,0,0,18,7,1
Willie Drewrey,7.7,34,262,0,2,0,25,13,3
Paul Skansi,7.6,5,38,0,0,0,14,0,0
Leo Lewis,7.6,7,53,0,0,0,13,4,0
Mike Martin,7.4,13,96,0,0,0,14,6,0
Lionel Manuel,7.3,3,22,0,0,0,12,6,0
Rufus Bess,7,23,162,0,0,0,15,10,2
Tim McGee,7,3,21,0,0,0,9,4,0
Dana McLemore,6.7,10,67,0,1,0,23,3,0
Robbie Martin,6.4,17,109,0,1,0,25,5,4
Napoleon McCallum,6.3,7,44,0,0,0,13,1,0
Craig Ellis,6.2,24,149,0,0,0,17,1,1
J.T. Smith,6,1,6,0,0,0,6,0,0
Gordon Banks,5.9,27,160,0,1,0,20,14,3
Floyd Dixon,5.8,26,151,0,0,0,16,3,3
Leonard Harris,5.3,3,16,0,0,0,8,0,1
Louis Lipps,5.3,3,16,0,0,0,10,1,0
Joey Jones,5.1,7,36,0,0,0,14,1,0
Robert Lavette,5.1,18,92,0,1,0,28,3,3
Anthony Allen,5,2,10,0,0,0,9,0,1
Tim McKyer,5,1,5,0,0,0,5,1,0
Willie Tullis,5,2,10,0,0,0,7,0,0
Bobby Futrell,4.8,14,67,0,0,0,12,5,1
Phil Smith,4.5,4,18,0,0,0,7,1,0
Walter Broughton,4.4,12,53,0,0,0,13,2,4
Wes Chandler,4.3,3,13,0,0,0,10,0,0
Mike Waters,4.3,7,30,0,0,0,13,1,3
Derrick Crawford,3.8,4,15,0,0,0,9,0,1
Mark Collins,3.7,3,11,0,0,0,6,1,1
Mark Jackson,3.5,2,7,0,0,0,6,0,1
John Simmons,3.5,2,7,0,0,0,6,4,0
Emile Harry,3.3,6,20,0,0,0,7,7,1
Rich Milot,3,1,3,0,0,0,3,0,0
Stephen Starring,3,6,18,0,0,0,12,0,2
Kevin Walker,3,9,27,0,0,0,10,0,0
Webster Slaughter,2,1,2,0,0,0,2,0,0
Kelvin Edwards,0.7,3,2,0,0,0,5,0,2
Tony Galbreath,0.3,3,1,0,0,0,1,1,2
Glenn Blackwood,0,1,0,0,0,0,0,0,1
Lyle Blackwood,0,1,0,0,0,0,0,0,1
Carl Carter,0,1,0,0,0,0,0,0,1
Mark Clayton,0,1,0,0,0,0,0,0,1
Rod Hill,0,1,0,0,0,0,0,0,1
Johnny Holloway,0,1,0,0,0,0,0,0,1
Allen Rice,0,1,0,0,0,0,0,0,1
Eric Richardson,0,1,0,0,0,0,0,0,1
Reyna Thompson,0,1,0,0,0,0,0,0,1
Allen Pinkett,-1,1,-1,0,0,0,-1,2,0
Nat Moore,-2,1,-2,0,0,0,-2,6,0
