Player,FF,FR,FR TD
Benny Barnes,0,0,0
Ken Criter,0,1,0
Fred Dryer,0,3,0
Cedrick Hardman,0,2,0
Curtis Johnson,0,1,0
Steve Kiner,0,1,0
Tony Plummer,0,1,0
Dwight White,0,0,0
Roy Winston,0,2,0
