Player,INT,INT TD,INT Yds,Lng
Ronde Barber,10,1,86,36
Anthony Henry,10,1,177,97
Kwamie Lassiter,9,0,80,25
Deltha O'Neal,9,0,115,42
Doug Evans,8,1,126,49
Ryan McNeil,8,0,55,33
Zack Bronson,7,2,165,97
Ahmed Plummer,7,0,45,24
Donnie Abraham,6,0,98,46
Dre' Bly,6,2,150,93
Sammy Knight,6,0,114,40
Darren Sharper,6,0,78,23
Ashley Ambrose,5,0,43,27
Mike Brown,5,2,81,33
Ray Buchanan,5,0,85,33
Aaron Glenn,5,1,82,60
Deon Grant,5,0,96,43
Tory James,5,0,72,33
Earl Little,5,0,33,15
Brock Marion,5,2,227,100
Chad Scott,5,2,204,62
Otis Smith,5,2,181,78
Fred Smoot,5,0,36,36
Brent Alexander,4,0,39,22
Will Allen,4,0,27,17
Dexter Jackson,4,0,42,29
Todd Lyght,4,1,72,59
Dexter McCleon,4,0,66,43
Daylon McCutcheon,4,1,62,32
Duane Starks,4,0,9,9
Eric Warfield,4,1,61,51
Aeneas Williams,4,2,69,42
Tyrone Williams,4,1,117,69
Willie Williams,4,0,24,24
LaVar Arrington,3,1,120,67
Champ Bailey,3,0,17,12
Aaron Beasley,3,0,0,0
Jay Bellamy,3,0,21,21
Derrick Brooks,3,0,65,53
Terrell Buckley,3,1,76,52
Jeff Burris,3,1,69,30
Nate Clements,3,1,48,48
Andre Dyson,3,0,36,36
Corey Fuller,3,1,82,49
Victor Green,3,1,76,63
Artrell Hawkins,3,0,26,22
Jimmy Hitchcock,3,0,65,35
Raymond Jackson,3,0,52,52
Marvin Jones,3,0,27,18
Kevin Kaesviharn,3,0,41,29
Ty Law,3,2,91,46
Ray Lewis,3,0,115,64
John Lynch,3,0,21,15
David Macklin,3,0,15,11
R.W. McQuarters,3,0,47,43
Hardy Nickerson,3,0,4,2
Tony Parrish,3,0,36,26
Samari Rolle,3,0,3,3
Lance Schulters,3,0,0,0
Jason Sehorn,3,1,34,34
Jimmy Spencer,3,0,25,18
Patrick Surtain,3,1,74,41
William Thomas,3,0,46,33
Reggie Tongue,3,1,67,55
Brian Urlacher,3,0,60,41
Troy Vincent,3,0,0,0
Denard Walker,3,1,60,39
Nate Wayne,3,0,55,35
Jason Webster,3,0,61,31
Shaun Williams,3,0,25,20
Jerome Woods,3,0,48,25
Darren Woodson,3,0,11,6
Rod Woodson,3,1,57,47
Robert Bailey,2,1,74,74
David Barrett,2,0,30,23
Ainsley Battles,2,0,26,26
Brant Boyer,2,0,12,8
Keith Brooking,2,0,17,9
Eric Brown,2,0,0,0
Tedy Bruschi,2,0,7,4
Keith Bulluck,2,0,21,21
Devin Bush,2,1,62,43
Ike Charlton,2,1,43,38
Chris Claiborne,2,0,11,6
Dexter Coakley,2,2,39,29
Tay Cody,2,0,3,3
Marcus Coleman,2,0,41,36
Rosevelt Colvin,2,0,22,14
Chad Cota,2,0,21,12
Jason Craft,2,0,4,4
