Player,Comb,Asst,Solo,Sck
Ray Lewis,161,49,79,3.5
Zach Thomas,154,60,74,3
Ronald McKinnon,145,48,70,2
James Farrior,142,36,63,1
Marvin Jones,135,40,60,1
Micheal Barrow,133,45,60,6
Donnie Edwards,129,32,79,2
Keith Brooking,125,25,78,3.5
Anthony Simmons,121,20,78,2
Chris Claiborne,119,42,64,4
London Fletcher,116,27,62,4.5
Earl Holmes,116,33,64,2
Hardy Nickerson,116,28,81,0
Brian Urlacher,116,27,82,6
Jeremiah Trotter,115,22,88,3.5
Rob Morris,114,30,56,1
Lawyer Milloy,113,36,58,3
Marvcus Patton,113,15,76,3
Derrick Brooks,112,33,66,0
Kwamie Lassiter,112,29,68,1
Dat Nguyen,112,22,85,0
Takeo Spikes,109,29,66,6
Greg Biekert,108,27,56,3
Jamie Sharper,108,31,57,6
Derek M. Smith,108,30,56,3
Rodney Harrison,107,17,74,3.5
Warrick Holdman,107,14,71,1.5
Mo Lewis,107,31,53,3
Chad Brown,105,25,60,8.5
Jay Foreman,101,29,54,2.5
Levon Kirkland,100,21,57,1
LaVar Arrington,99,17,73,0.5
Mike Caldwell,99,24,67,3
Jamir Miller,99,18,59,13
Dwayne Rudd,99,27,50,0.5
Rogers Beckett,98,21,66,0
Kailee Wong,98,15,66,3
Dexter Coakley,96,23,55,0
Sammy Knight,96,18,61,1
Bernardo Harris,95,28,49,2.5
Shaun Williams,95,18,60,1
Chad Cota,94,21,50,0
Junior Seau,94,11,66,1
Darren Sharper,94,24,62,2
Jay Bellamy,93,22,52,2
Charlie Clemons,93,18,58,13.5
Rob Fredrickson,93,21,40,4
Marcus Washington,93,20,53,8
Pat Tillman,92,22,56,0
John Mobley,91,12,69,1
Roman Phifer,91,21,52,2
Lester Towns,91,27,55,0
Keith Mitchell,89,28,43,2
Sam Shade,89,14,68,0
William Thomas,88,24,52,3
Tyrone Williams,88,12,64,0
Victor Green,87,31,41,0
John Lynch,87,25,47,1
Jeff Ulbrich,87,24,49,0.5
Jerome Woods,87,13,63,1
Darren Woodson,87,11,68,0
Jessie Armstead,86,24,44,1.5
Tommy Polley,86,18,48,0
Corey Fuller,85,15,61,0
Damon Moore,85,22,56,1
Nate Wayne,85,26,44,5.5
Al Wilson,85,13,61,3
Greg Wesley,84,11,68,2
Idrees Bashir,83,24,45,0
Kendrell Bell,83,13,52,9
Jamie Duncan,83,21,46,2
Corey Harris,83,10,60,0
Keith Newman,83,21,44,3.5
Perry Phenix,82,19,55,0
Wali Rainer,82,29,34,1
Brian Simmons,82,32,45,6.5
Raynoch Thompson,82,21,45,0.5
Brian Walker,82,27,45,0
Earl Little,81,17,47,1
Kevin Mitchell,81,13,56,2
Shaun Rogers,81,21,43,3
Reggie Tongue,81,20,52,1
Chad Scott,80,9,64,0
Antoine Winfield,80,12,59,0
Brant Boyer,79,19,46,0
Carlos Emmons,79,18,57,1
Barrett Green,79,25,42,1
Eric Kelly,79,17,53,0
R.W. McQuarters,78,14,57,1
Mike Minter,78,14,53,0
Eric Brown,77,13,56,3
Donovin Darius,77,12,56,0
Randall Godfrey,77,16,48,1
Dewayne Washington,77,11,62,1
Brock Marion,76,24,46,0
Ryan McNeil,76,12,54,0
Orlando Ruff,76,15,44,1
David Terrell,76,10,54,1
Tedy Bruschi,75,21,30,2
Darren Hambrick,75,19,51,0
Jason Webster,75,8,55,0.5
Willie Williams,75,12,54,0
Sam Garnes,74,15,46,0
Kevin Mathis,74,14,48,1
Eric Warfield,74,8,60,0
Rod Woodson,74,19,49,0
Corey Chavous,73,12,53,0
Chris Draft,73,19,46,0
Kenoy Kennedy,73,19,49,2
Marquez Pope,73,18,41,0
Michael Strahan,73,13,47,22.5
Brent Alexander,72,19,41,2
Vonnie Holliday,72,26,35,7
Aeneas Williams,72,17,47,0
Ronde Barber,71,13,49,1
Anthony Dorsett,71,9,48,1
Deon Grant,71,12,54,1
Chris McAlister,71,8,61,0
Daylon McCutcheon,71,6,53,2
Ed McDaniel,71,16,40,1
Derrick Rodgers,71,27,34,1
Ray Buchanan,70,8,52,0
Marcus Coleman,70,11,40,0
Jason Taylor,70,23,39,8.5
Rosevelt Colvin,69,10,49,10.5
Na'il Diggs,69,16,42,2
Michael Green,69,6,58,3
Kevin Hardy,69,13,50,5.5
Grady Jackson,69,17,34,4
Tebucky Jones,69,19,38,1
Ty Law,69,10,42,1
Deltha O'Neal,69,7,54,0
Bill Romanowski,69,14,50,7
Brian Dawkins,68,12,55,1.5
Fred Thomas,68,13,49,0
Mike Brown,67,12,47,3
Dan Morgan,67,22,40,1
John Parrella,67,6,51,2
Tony Parrish,67,11,50,1
Eddie Robinson,67,18,38,1
Darrin Smith,67,17,34,1.5
Troy Vincent,67,11,55,1.5
Peter Boulware,66,23,35,15
Doug Evans,66,7,46,0
Dexter Jackson,66,11,50,2.5
Ray Mickens,66,10,47,1
Duane Hawthorne,65,12,45,0
Kenard Lang,65,15,41,4
Mike Peterson,65,19,27,1.5
Brandon Spoon,65,20,26,0
Joe Johnson,64,11,34,9
Dexter McCleon,64,6,48,0
Mike McKenzie,64,10,49,0
Ahmed Plummer,64,6,45,0
John Abraham,63,10,36,13
Zack Bronson,63,6,48,0
Nate Clements,63,10,48,1
Tay Cody,63,6,49,0
Mark Fields,63,15,28,0
Cornelius Griffin,63,16,26,2.5
Marcus Robertson,63,15,41,0
Otis Smith,63,8,43,2
Mike Vrabel,63,23,32,3
Devin Bush,62,19,30,0
Robert Griffith,62,16,38,0
Lemanski Hall,62,16,40,1
David Macklin,62,9,49,0.5
Jason Sehorn,62,6,48,1
Ronnie Bradford,61,10,42,1
Gerald Dixon,61,14,39,2
Lee Flowers,61,13,40,1
Lance Schulters,61,9,38,1
Brandon Short,61,16,30,1
Orlando Thomas,61,16,41,0
Gerard Warren,61,13,39,5
David Barrett,60,9,39,0
Chad Bratzke,60,15,29,8.5
Terry Cousin,60,15,42,2
Jason Craft,60,7,50,0
Greg Ellis,60,15,41,6
Chris Carter,59,17,39,0
Todd Lyght,59,6,52,0
Joey Porter,59,14,35,9
Duane Starks,59,5,49,0
Pat Williams,59,18,32,1.5
Jeff Burris,58,4,43,0
