Player,FF,FR,FR TD
John Abraham,6,3,1
Michael Strahan,6,1,1
Tony Brackens,5,1,0
Marcellus Wiley,5,0,0
Micheal Barrow,4,2,0
Peter Boulware,4,1,0
John Engelberger,4,0,0
London Fletcher,4,0,0
Jamir Miller,4,0,0
Joey Porter,4,1,0
John Randle,4,1,1
Corey Simon,4,0,0
Duane Starks,4,0,0
Jason Taylor,4,4,1
Lorenzo Bromell,3,0,0
Tedy Bruschi,3,1,0
Mike Caldwell,3,0,0
Ike Charlton,3,0,0
Patrick Chukwurah,3,0,0
Nate Clements,3,0,0
Duane Clemons,3,1,0
Marco Coleman,3,0,0
Rosevelt Colvin,3,1,0
Rashard Cook,3,1,0
Phillip Daniels,3,2,0
Greg Ellis,3,2,0
James Farrior,3,0,0
Kabeer Gbaja-Biamila,3,1,0
Jason Gildon,3,2,1
La'Roi Glover,3,1,0
Corey Harris,3,4,0
Ronnie Heard,3,0,0
Warrick Holdman,3,0,0
Darren Howard,3,0,0
Tebucky Jones,3,0,0
Jevon Kearse,3,0,0
Kenard Lang,3,1,0
Kevin Mathis,3,0,0
Wali Rainer,3,1,0
Ike Reese,3,0,0
Mike Rucker,3,1,0
Bruce Smith,3,1,0
Tim Terry,3,0,0
Adalius Thomas,3,0,0
Eric Warfield,3,0,0
Rabih Abdullah,2,1,0
Elijah Alexander,2,0,0
Eric Allen,2,1,1
Jessie Armstead,2,0,0
David Barrett,2,0,0
Michael Bates,2,0,0
Keith Brooking,2,1,0
Chad Brown,2,1,0
Courtney Brown,2,2,1
Mike Brown,2,1,0
Tony Bryant,2,0,0
Andre Carter,2,1,0
Danny Clark,2,0,0
Charlie Clemons,2,1,0
Dexter Coakley,2,1,0
Antonio Cochran,2,1,0
George Coghill,2,0,0
Terry Cousin,2,1,0
Brian Dawkins,2,2,1
Hugh Douglas,2,0,0
Doug Evans,2,0,0
Steve Foley,2,0,0
Corey Fuller,2,1,0
Michael Green,2,1,0
Lemanski Hall,2,2,0
Bernardo Harris,2,3,0
Johnnie Harris,2,0,0
Rodney Harrison,2,1,0
Artrell Hawkins,2,1,0
Eric Hicks,2,1,0
Raion Hill,2,1,0
Earl Holmes,2,1,0
Chris Hovan,2,1,0
Dexter Jackson,2,0,0
Joe Johnson,2,2,0
Raylee Johnson,2,2,1
Lance Johnstone,2,0,0
Marvin Jones,2,1,0
Patrick Kerney,2,1,0
Levon Kirkland,2,0,0
Sammy Knight,2,5,0
Mo Lewis,2,2,1
Leonard Little,2,1,0
Brock Marion,2,1,0
Marlon McCree,2,1,0
Daylon McCutcheon,2,0,0
R.W. McQuarters,2,1,1
Keith Mitchell,2,0,0
Damon Moore,2,2,1
Keith Newman,2,0,0
John Nix,2,0,0
Kendrick Office,2,0,0
Marvcus Patton,2,0,0
Roman Phifer,2,2,0
Jamal Reynolds,2,0,0
Simeon Rice,2,0,0
Bryan Robinson,2,1,0
Eddie Robinson,2,1,0
Bill Romanowski,2,0,0
Junior Seau,2,0,0
Anthony Simmons,2,0,0
Brian Simmons,2,0,1
Mark Simoneau,2,1,0
T.J. Slaughter,2,0,0
Greg Spires,2,1,0
Patrick Surtain,2,2,0
Bobby Taylor,2,3,0
Zach Thomas,2,0,0
Lester Towns,2,0,0
Jeremiah Trotter,2,1,0
Jeff Ulbrich,2,0,0
Brian Urlacher,2,2,1
Marcus Washington,2,0,0
Grant Wistrom,2,1,0
Sam Adams,1,0,0
Chris Akins,1,0,0
Brent Alexander,1,0,0
Dan Alexander,1,0,0
Rashard Anderson,1,2,1
Adam Archuleta,1,1,0
Jerry Azumah,1,1,0
