Player,FGM,Att,FG %,1-19 > A-M,20-29 > A-M,30-39 > A-M,40-49 > A-M,50-59 > A-M,60+ > A-M,Lng,FG Blk
Jason Elam,31,36,86.1,0/0,11/11,8/8,10/13,2/3,0/1,50,1
Kris Brown,30,44,68.2,0/0,7/7,15/20,6/15,2/2,0/0,55,0
Matt Stover,30,35,85.7,0/0,16/16,9/10,5/9,0/0,0/0,49,0
Jay Feely,29,37,78.4,1/1,8/8,14/15,4/9,2/4,0/0,55,1
Mike Vanderjagt,28,34,82.4,0/0,7/8,6/6,12/16,3/4,0/0,52,2
John Carney,27,31,87.1,0/0,7/7,11/11,8/12,1/1,0/0,50,2
Todd Peterson,27,35,77.1,0/0,9/11,9/10,8/12,1/2,0/0,51,0
David Akers,26,31,83.9,1/1,9/9,7/8,7/10,2/3,0/0,50,0
Brett Conway,26,33,78.8,0/0,8/8,8/11,8/12,2/2,0/0,55,0
Paul Edinger,26,31,83.9,0/0,6/7,7/8,13/16,0/0,0/0,48,0
John Hall,24,31,77.4,1/1,8/8,5/7,7/9,3/6,0/0,53,1
Adam Vinatieri,24,30,80,1/1,8/8,7/8,7/12,1/1,0/0,54,0
Morten Andersen,23,28,82.1,0/0,8/8,7/8,6/7,2/5,0/0,51,0
Martin Gramatica,23,29,79.3,0/0,9/10,9/9,5/7,0/3,0/0,49,0
Sebastian Janikowski,23,28,82.1,0/0,7/7,9/10,6/9,1/2,0/0,52,1
John Kasay,23,28,82.1,0/0,10/10,4/4,7/9,2/5,0/0,52,0
Jeff Wilkins,23,29,79.3,0/0,11/11,5/5,6/12,1/1,0/0,54,0
Phil Dawson,22,25,88,0/0,10/10,8/9,4/6,0/0,0/0,48,0
Jason Hanson,21,30,70,1/1,2/2,8/8,6/12,4/6,0/1,54,1
Wade Richey,21,32,65.6,0/0,13/15,4/7,3/7,1/3,0/0,51,0
Rian Lindell,20,32,62.5,0/0,7/8,4/5,6/14,3/5,0/0,54,0
Ryan Longwell,20,31,64.5,0/0,3/4,9/10,7/14,1/3,0/0,54,1
Joe Nedney,20,28,71.4,0/0,6/6,5/5,8/15,1/2,0/0,51,0
Olindo Mare,19,21,90.5,1/1,8/8,8/8,2/4,0/0,0/0,46,0
Jose Cortez,18,25,72,1/2,6/7,6/7,4/8,1/1,0/0,52,4
Mike Hollis,18,28,64.3,0/0,4/5,8/11,6/11,0/1,0/0,48,1
Neil Rackers,17,28,60.7,0/0,4/6,8/11,4/9,1/2,0/0,52,0
Bill Gramatica,16,20,80,1/1,7/7,3/4,4/7,1/1,0/0,50,0
Gary Anderson,15,18,83.3,0/0,7/7,2/4,6/7,0/0,0/0,44,0
Jake Arians,12,21,57.1,0/0,6/6,2/4,4/11,0/0,0/0,49,2
Jon Hilbert,11,16,68.8,0/0,3/3,6/6,2/7,0/0,0/0,43,1
Tim Seder,11,17,64.7,0/0,5/5,3/5,3/6,0/1,0/0,46,2
Steve Christie,9,11,81.8,0/0,4/4,3/5,2/2,0/0,0/0,41,0
Shayne Graham,6,8,75,0/0,4/4,0/0,2/4,0/0,0/0,41,0
Doug Brien,5,6,83.3,0/0,2/2,1/1,2/3,0/0,0/0,42,0
Cedric Oglesby,5,6,83.3,1/1,2/2,1/2,1/1,0/0,0/0,41,0
Brad Daluiso,3,4,75,0/0,1/2,1/1,1/1,0/0,0/0,44,0
Jaret Holmes,0,0,0,0/0,0/0,0/0,0/0,0/0,0/0,0,0
Owen Pochman,0,2,0,0/0,0/0,0/0,0/0,0/1,0/1,0,0
