Player,Avg,Ret,Yds,PRet T,20+,40+,Lng,FC,FUM
Raymond Jackson,43,1,43,0,1,1,43,0,0
Avion Black,34,1,34,0,1,0,34,0,0
Nate Clements,20.2,4,81,1,1,1,66,1,0
Raghib Ismail,20,1,20,0,1,0,20,3,0
Tim Brown,18.5,6,111,1,1,1,88,21,1
Darren Sharper,18,1,18,0,0,0,18,3,0
Bobby Engram,16,6,96,0,2,0,28,3,0
Justin McCareins,14.5,2,29,0,0,0,18,0,0
Troy Brown,14.2,29,413,2,6,3,85,15,1
Darrien Gordon,14.1,31,437,0,6,3,74,6,4
Santana Moss,13.7,6,82,0,2,0,23,0,0
T.J. Houshmandzadeh,13.6,12,163,0,1,1,86,5,1
Reggie Swinton,13.4,31,414,1,7,3,65,8,3
Deltha O'Neal,13.1,31,405,1,6,2,86,9,2
Chris Hudson,13,2,26,0,1,0,22,1,0
Eric Metcalf,12.5,33,412,1,5,1,89,5,3
Jermaine Lewis,12.4,42,519,0,6,1,62,9,0
Brian Mitchell,12,39,467,0,6,1,54,22,2
Jeff Ogden,11.8,32,377,0,3,1,48,11,3
Charles Woodson,11.8,4,47,0,0,0,16,0,0
Arnold Jackson,11.5,40,461,0,6,1,55,0,0
Tim Dwight,11.3,24,271,1,3,1,84,12,1
Bobby Shaw,11.2,4,45,0,2,0,23,1,1
Isaac Byrd,11.2,5,56,0,1,0,22,2,0
Danny Farmer,11,1,11,0,0,0,11,1,0
Steve Smith,10.7,34,364,1,5,2,70,10,3
Karl Williams,10.5,35,366,1,4,1,84,13,2
Terrence Wilkins,10.4,21,219,1,2,1,78,4,1
Dre' Bly,10.1,7,71,0,1,0,32,6,0
Trevor Insley,10.1,7,71,0,2,0,33,8,0
Allen Rossum,9.9,11,109,1,1,1,55,8,0
Dedric Ward,9.8,9,88,0,0,0,18,2,0
Charlie Rogers,9.8,25,244,0,3,0,34,10,1
Craig Yeast,9.4,13,122,0,1,0,35,6,1
Terry Fair,9.2,4,37,0,1,0,21,2,0
Az-Zahir Hakim,9.2,36,330,0,5,0,32,12,4
Desmond Howard,9.1,22,201,0,2,0,34,19,0
Leon Johnson,9.1,28,255,0,3,0,35,10,2
Joe Walker,8.9,14,125,0,1,0,36,4,1
Tiki Barber,8.9,38,338,0,4,0,23,12,3
David Dunn,8.9,19,169,0,1,0,23,11,3
Wane McGarity,8.8,25,221,0,3,1,42,11,2
Chris McAlister,8.8,5,44,0,1,0,24,1,0
Damon Gibson,8.8,38,333,0,5,0,24,22,3
Chad Morton,8.7,13,113,0,3,0,33,7,0
Kevin Johnson,8.4,14,117,0,1,0,24,6,0
Troy Edwards,8.3,10,83,0,2,0,28,0,0
Larry Parker,8.3,11,91,0,0,0,14,2,0
Glyn Milburn,8.2,21,172,0,1,0,20,7,1
Hank Poteat,8.1,36,292,0,3,0,39,14,4
R.W. McQuarters,8,12,96,0,0,0,16,1,0
Nate Jacquet,7.6,29,219,0,4,0,23,6,2
Ken-Yon Rambo,7.5,2,15,0,0,0,13,0,0
Dante Hall,7.3,32,235,0,1,0,26,6,1
Vinny Sutherland,7,21,147,0,0,0,19,19,1
Kevin Faulk,6.8,4,27,0,0,0,10,0,1
Antonio Freeman,6.7,17,114,0,1,0,29,7,1
Peter Warrick,6.4,18,116,0,1,0,31,10,2
Derrick Mason,6.4,20,128,0,1,0,20,19,0
Troy Walters,6.3,11,69,0,0,0,16,3,2
Na Brown,6,5,30,0,0,0,11,0,0
Joey Galloway,6,1,6,0,0,0,6,0,0
Kerry Joseph,6,2,12,0,0,0,12,1,1
Sam Madison,6,1,6,0,0,0,6,0,0
Deuce McAllister,6,4,24,0,0,0,10,4,1
Michael L. Lewis,5.8,14,81,0,1,0,32,0,6
Peerless Price,5.8,19,110,0,2,0,24,8,1
Dennis Northcutt,5.7,15,86,0,1,0,32,9,2
Larry Foster,5.7,3,17,0,0,0,9,0,1
Amani Toomer,5.1,8,41,0,0,0,15,1,1
Autry Denson,5,1,5,0,0,0,5,0,0
Don Morgan,4.2,4,17,0,0,0,6,0,0
Reidel Anthony,4,3,12,0,0,0,7,1,1
Robert Ferguson,4,1,4,0,0,0,4,2,0
Kwamie Lassiter,3.7,3,11,0,0,0,10,1,0
Aaron Glenn,3,2,6,0,0,0,4,1,1
Kevin Lockett,2.8,5,14,0,0,0,11,3,0
Michael Bates,2.5,2,5,0,0,0,5,2,1
Charles Lee,2,3,6,0,0,0,6,0,0
Chris Walsh,2,1,2,0,0,0,2,0,0
Cedrick Wilson,2,2,4,0,0,0,3,0,0
Reggie Jones,1.7,3,5,0,0,0,5,0,2
Lamar Chapman,1,1,1,0,0,0,1,0,0
Terry Cousin,0,1,0,0,0,0,0,0,0
Nick Harper,0,1,0,0,0,0,0,0,1
Brian Kozlowski,0,1,0,0,0,0,0,0,0
Carnell Lake,0,1,0,0,0,0,0,0,1
Central McClellion,0,1,0,0,0,0,0,0,1
Eric Warfield,0,1,0,0,0,0,0,0,1
Ron Dixon,-3,1,-3,0,0,0,-3,0,0
