Player,KO,Yds,Ret Yds,TB,TB %,Ret,Ret Avg,OSK,OSK Rec,OOB,TD
Jeff Wilkins,98,6320,2194,10,10.2,86,25.5,1,1,1,2
Kris Brown,84,5058,1535,9,10.7,72,21.3,1,1,2,1
Jason Elam,82,5165,1526,10,12.2,69,22.1,2,0,1,1
Sebastian Janikowski,82,5250,1552,12,14.6,69,22.5,0,0,1,1
Wade Richey,82,5432,1671,18,22,64,26.1,0,0,0,0
Adam Vinatieri,82,4992,1658,6,7.3,75,22.1,0,0,0,0
Ryan Longwell,81,4823,1511,4,4.9,75,20.2,1,0,2,0
David Akers,79,4927,1430,7,8.9,67,21.3,2,1,3,0
Jay Feely,75,4648,1286,7,9.3,64,20.1,3,2,2,0
Toby Gowin,75,4437,1365,5,6.7,63,21.7,6,2,1,0
Jose Cortez,74,4419,1318,7,9.5,63,20.9,2,0,2,0
John Hall,74,4681,1337,9,12.2,62,21.6,2,0,2,0
Todd Peterson,74,4436,1474,7,9.5,65,22.7,2,0,1,1
Paul Edinger,73,4419,1353,4,5.5,66,20.5,1,1,2,0
Olindo Mare,73,4579,1189,12,16.4,59,20.2,1,0,1,0
Joe Nedney,72,4503,1418,12,16.7,57,24.9,1,1,2,0
Phil Dawson,71,4068,1215,2,2.8,65,18.7,2,0,1,0
Rian Lindell,68,4216,1273,4,5.9,64,19.9,0,0,0,1
Jason Hanson,67,4278,1143,11,16.4,53,21.6,2,0,1,0
Martin Gramatica,65,4109,1063,10,15.4,51,20.8,1,0,2,0
Brett Conway,64,3863,945,7,10.9,54,17.5,1,0,2,0
Micah Knorr,64,3760,1164,4,6.2,54,21.6,6,1,1,0
Neil Rackers,57,3445,1157,8,14,46,25.2,2,2,0,1
Bill Gramatica,51,3092,782,8,15.7,38,20.6,2,0,3,1
Mike Vanderjagt,50,3083,1243,0,0,50,24.9,0,0,0,0
Mitch Berger,48,3063,988,3,6.2,44,22.4,0,0,1,1
Danny Kight,48,2909,832,6,12.5,41,20.3,1,0,1,0
Owen Pochman,44,2661,1005,2,4.6,41,24.5,0,0,1,0
Brian Moorman,40,2173,609,2,5,31,19.6,5,1,2,0
Todd Sauerbrun,39,2443,744,4,10.3,33,22.6,2,0,0,0
Hunter Smith,36,2187,746,0,0,36,20.7,0,0,0,0
Jim Tarle,34,2157,696,1,2.9,33,21.1,0,0,0,0
Morten Andersen,27,1585,588,0,0,25,23.5,1,0,1,0
John Kasay,27,1708,596,0,0,27,22.1,0,0,0,0
Matt Stover,26,1529,561,1,3.8,23,24.4,2,1,0,0
Shayne Graham,21,1165,378,0,0,21,18,0,0,0,0
Jaret Holmes,20,1225,372,0,0,19,19.6,0,0,1,0
Cedric Oglesby,14,730,169,0,0,13,13,0,0,1,0
Mike Hollis,13,674,198,0,0,12,16.5,1,0,0,0
Doug Brien,12,671,246,0,0,11,22.4,0,0,1,0
Gary Anderson,10,551,135,0,0,9,15,0,0,1,0
Lee Johnson,7,422,143,1,14.3,6,23.8,0,0,0,0
Brad Daluiso,6,312,105,0,0,6,17.5,0,0,0,0
Jason Baker,5,267,90,0,0,5,18,0,0,0,0
John Carney,3,172,107,0,0,3,35.7,0,0,0,0
Pat Tillman,3,98,16,0,0,2,8,1,0,0,0
Jake Arians,2,26,0,0,0,0,0,2,0,0,0
John Lynch,2,90,29,0,0,2,14.5,0,0,0,0
Josh Bidwell,1,55,9,0,0,1,9,0,0,0,0
Nick Harris,1,24,0,0,0,0,0,0,0,1,0
Josh Miller,1,55,26,0,0,1,26,0,0,0,0
Tom Tupa,1,57,18,0,0,1,18,0,0,0,0
