Team,Avg,Ret,Yds,PRet T,20+,40+,Lng,FC,FUM
Oilers,14.4,43,620,3,0,0,83T,2,0
Raiders,11.9,58,688,0,0,0,64,4,0
Dolphins,11.8,43,509,1,0,0,50T,10,0
Chargers,11.6,38,442,1,0,0,52,0,0
Broncos,11.5,41,470,0,0,0,51,5,0
Colts,10.4,42,439,0,0,0,53,15,0
Cardinals,10.2,40,410,1,0,0,69T,6,0
Steelers,10.2,54,548,0,0,0,48,13,0
Bears,9.8,52,512,0,0,0,39,3,0
Cowboys,9.8,32,313,1,0,0,43T,15,0
49ers,9.8,63,616,0,0,0,66,1,0
Rams,9.4,55,517,0,0,0,40,2,0
Lions,9.1,36,328,0,0,0,43,12,0
Saints,9,41,370,0,0,0,42,5,0
Eagles,8.5,35,299,0,0,0,39,5,0
Bills,8.4,33,278,0,0,0,30,14,0
Chiefs,8.2,37,303,0,0,0,34,6,0
Patriots,7.9,33,262,0,0,0,29,8,0
Redskins,7.6,61,464,1,0,0,52T,9,0
Browns,7.4,40,294,0,0,0,30,3,0
Giants,7.1,49,350,1,0,0,65T,9,0
Falcons,7.1,35,248,0,0,0,24,5,0
Packers,6.3,30,190,0,0,0,27,7,0
Bengals,5.6,48,267,0,0,0,34,6,0
Jets,5.3,22,116,0,0,0,34,7,0
Vikings,4.7,36,168,0,0,0,22,20,0
