Team,FGM,Att,FG %,1-19 > A-M,20-29 > A-M,30-39 > A-M,40-49 > A-M,50-59 > A-M,60+ > A-M,Lng,FG Blk
Cowboys,22,35,62.9,2_2,13_12,10_5,9_3,0_0,0_0,43,2
Chiefs,22,32,68.8,1_1,8_7,9_8,10_5,0_0,0_0,51,4
Broncos,21,29,72.4,1_1,9_7,9_7,7_4,0_0,0_0,53,2
Rams,21,26,80.8,2_2,7_7,10_7,5_4,0_0,0_0,51,1
Eagles,20,29,69,1_1,11_8,3_3,13_7,0_0,0_0,51,4
Cardinals,19,24,79.2,0_0,11_10,7_5,6_4,0_0,0_0,48,3
Oilers,18,30,60,0_0,9_8,8_4,12_6,0_0,0_0,48,1
Browns,17,23,73.9,1_1,9_7,6_4,5_5,0_0,0_0,49,0
Steelers,17,21,81,4_4,7_7,7_5,2_1,0_0,0_0,42,0
Redskins,16,25,64,0_0,3_1,10_9,9_6,0_0,0_0,48,1
Lions,14,21,66.7,1_1,6_6,9_4,5_3,0_0,0_0,47,2
49ers,14,28,50,2_2,9_7,3_1,7_3,0_0,0_0,54,1
Bears,13,23,56.5,0_0,7_3,6_5,7_4,0_0,0_0,55,4
Raiders,13,21,61.9,2_2,8_7,6_4,5_0,0_0,0_0,37,0
Dolphins,13,16,81.2,1_1,5_5,7_6,2_1,0_0,0_0,40,0
Vikings,13,17,76.5,0_0,3_3,6_6,7_3,0_0,0_0,52,1
Jets,13,21,61.9,0_0,3_3,5_3,12_7,0_0,0_0,47,4
Packers,12,17,70.6,1_1,8_7,3_2,5_2,0_0,0_0,48,0
Chargers,12,24,50,0_0,4_4,9_5,9_3,0_0,0_0,45,0
Saints,11,21,52.4,1_1,5_4,6_3,7_2,0_0,0_0,50,2
Bengals,10,21,47.6,1_1,8_5,7_1,5_3,0_0,0_0,48,0
Colts,10,18,55.6,2_2,3_0,10_7,3_1,0_0,0_0,42,0
Bills,9,16,56.2,1_0,2_2,5_4,7_3,0_0,0_0,45,2
Patriots,9,17,52.9,1_1,1_1,6_5,8_2,0_0,0_0,46,3
Giants,6,11,54.6,0_0,2_2,6_3,3_1,0_0,0_0,41,3
Falcons,4,10,40,0_0,3_3,3_0,4_1,0_0,0_0,44,0
