Team,INT,INT TD,INT Yds,Lng
Chiefs,31,1,395,57T
Lions,28,4,417,62
Vikings,28,2,412,43T
Colts,25,3,408,47
Cowboys,24,0,307,60
Bengals,23,0,180,31
Dolphins,23,1,414,86T
Jets,23,2,281,41
Steelers,23,1,266,37T
Saints,22,0,260,47
49ers,22,2,308,70
Cardinals,21,2,255,41
Packers,20,1,398,76T
Falcons,19,0,191,32
Browns,19,3,324,56
Rams,19,2,280,65
Raiders,19,0,112,26
Oilers,18,0,242,35
Bears,17,0,129,32
Giants,17,0,223,52
Broncos,16,0,220,50
Redskins,15,0,240,32
Bills,11,2,179,59T
Eagles,10,0,102,45
Chargers,9,0,90,25
Patriots,8,0,184,72
