Team,Rsh TD,Rec TD,Tot TD,2-PT
49ers,26,29,60,0
Cowboys,20,18,41,0
Packers,14,19,34,0
Chiefs,14,20,35,0
Jets,14,16,31,0
Chargers,14,18,33,0
Broncos,13,27,42,0
Steelers,13,16,30,0
Seahawks,13,13,27,0
Bills,12,20,36,0
Cardinals,12,21,35,0
Oilers,11,23,37,0
Giants,11,17,30,0
Redskins,11,11,24,0
Bears,10,7,20,0
Raiders,10,17,29,0
Dolphins,10,27,40,0
Saints,10,18,31,0
Lions,9,15,26,0
Patriots,9,17,26,0
Browns,8,23,35,0
Rams,8,16,24,0
Vikings,8,18,28,0
Eagles,7,23,34,0
Buccaneers,6,19,27,0
Falcons,4,28,33,0
Colts,4,10,14,0
Bengals,3,11,16,0
