Team,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Rec 1st,Rec 1st%,Rec FUM
Buccaneers,499,4746,9.5,26,49,8,63,240,48.1,5
Chargers,485,4791,9.9,26,49,7,55T,232,47.8,6
Vikings,448,4818,10.8,30,49,10,66,244,54.5,3
Chiefs,435,5250,12.1,41,73,13,67,272,62.5,5
Cardinals,433,3966,9.2,17,40,3,77,189,43.6,4
Bengals,418,4520,10.8,35,54,10,60,221,52.9,2
Seahawks,399,4282,10.7,30,50,6,54,206,51.6,4
Colts,398,3854,9.7,17,41,4,49,193,48.5,8
Jaguars,394,4148,10.5,25,55,3,59,208,52.8,2
Lions,383,4444,11.6,29,57,12,81,228,59.5,2
Dolphins,368,4765,13,30,62,14,84,220,59.8,3
Packers,364,3890,10.7,27,56,7,63,186,51.1,8
Steelers,364,3661,10.1,12,44,3,57,189,51.9,2
Bills,361,4291,11.9,35,51,12,98,212,58.7,3
Raiders,359,4182,11.6,28,58,10,60,193,53.8,5
Patriots,358,3815,10.7,19,57,9,53,166,46.4,7
Jets,357,4040,11.3,15,47,10,79,191,53.5,6
Cowboys,355,3911,11,28,50,5,68T,194,54.6,2
Texans,352,3642,10.4,20,55,7,58,159,45.2,2
Eagles,350,4364,12.5,25,63,13,78,195,55.7,6
Rams,346,3478,10,16,37,4,75,180,52,2
Giants,346,3431,9.9,17,28,5,65,170,49.1,4
Broncos,345,4007,11.6,18,55,12,67,166,48.1,1
Commanders,344,3783,11,24,46,10,75,184,53.5,1
Saints,338,3969,11.7,24,45,13,68,181,53.6,7
49ers,338,4049,12,30,56,6,57,188,55.6,4
Browns,335,3710,11.1,19,44,5,55,182,54.3,3
Ravens,300,3202,10.7,19,33,6,75T,149,49.7,6
Titans,285,3227,11.3,16,41,11,69T,153,53.7,2
Panthers,267,3246,12.2,16,49,12,75,138,51.7,4
Falcons,257,2927,11.4,17,37,5,75T,148,57.6,4
Bears,223,2598,11.6,19,38,7,56,109,48.9,6
