Player,Comb,Asst,Solo,Sck
Al Smith,145,45,0,1
Jeff Herrod,130,38,0,2.5
Chris Spielman,126,42,0,1
Broderick Thomas,124,34,0,11
Kyle Clifton,123,34,0,1
Junior Seau,121,26,0,7
Eddie Anderson,118,29,0,0
Vincent Brown,117,21,0,3
Darryl Talley,116,26,0,4
Mark Murphy,115,39,0,1
Lamar Lathon,114.5,29,0,2
Mike Merriweather,112,30,0,1
Gary Plummer,112,24,0,1
Jessie Tuggle,112,13,0,1
Richard Brown,110,36,0,0.5
Brian Noble,109,40,0,2.5
Larry Kelm,108,17,0,2
Vince Newsome,106,25,0,0
Shane Conlan,104,35,0,0
Pepper Johnson,104,33,0,6.5
Terry Wooden,103,25,0,2
Cornelius Bennett,102,24,0,9
Riki Ellison,102,36,0,0
Johnny Holland,102,30,0,0
Sam Mills,102,23,0,1
Steve Atwater,100,22,0,1
Duane Bickett,100,26,0,5
Jesse Solomon,100,28,0,0
Jack Del Rio,97,22,0,0
Tim McDonald,97,18,0,0
Brian Washington,97,21,0,2
David Fulcher,95,27,0,0
Eric Hill,95,36,0,1
Bubba McDowell,95,27,0,1
Hardy Nickerson,95,24,0,1
Ray Berry,94,25,0,1
Chuck Cecil,94,34,0,0
James Hasty,94,18,0,0
James Washington,94,16,0,0
Felix Wright,94,23,0,0
Bennie Blades,93,28,0,0
Ronnie Lott,92.5,26,0,1
Lorenzo Lynch,92,16,0,0
Eugene Robinson,92,24,0,1
Mike Zordich,92,22,0,0
Michael Brooks,90,16,0,0
Leonard Smith,90,15,0,2
Tony Bennett,89,28,0,13
Melvin Jenkins,89,12,0,1
Scott Radecic,89,27,0,0
Louis Oliver,88,15,0,0
Brian Jordan,87,17,0,4
William White,87,23,0,0
George Jamison,86,19,0,4
Joey Browner,85,18,0,0
Ray Crockett,85,12,0,1
Carl Banks,84,16,0,4
Scott Stephen,84,24,0,1.5
Carnell Lake,83,13,0,1
Chris Martin,83,12,0,5
Michael Stewart,82,12,0,1
Dave Waymer,82,9,0,1
Mark Collins,81,17,0,0
David Griggs,80,12,0,5.5
Andre Collins,79,8,0,3
Ray Horton,79,12,0,0
Dino Hackett,78,20,0,1
Winston Moss,77.5,14,0,3
Tim Gordon,77,18,0,0
Myron Guyton,77,15,0,0
Greg Lloyd,77,12,0,8
Rufus Porter,77,21,0,10
Mike Singletary,77,19,0,0
Terry McDaniel,76.5,12,0,0
Karl Mecklenburg,76,22,0,9
Gene Atkins,75,8,0,3
Michael Brim,75,14,0,1
Ray Childress,75,20,0,7
Pat Terrell,75,10,0,0
Carlton Bailey,74,22,0,0
D.J. Johnson,74,7,0,1
Bill Romanowski,74,9,0,1
Andre Waters,74,13,0,0
Chris Goode,73,12,0,2
Eugene Lockhart,73,23,0,0
Wilber Marshall,73,8,0,5.5
Cliff Odom,73,11,0,1
Nate Odomes,73,7,0,1
Michael Dean Perry,73,8,0,8.5
Tony Covington,72,17,0,1
Ken Harvey,72,25,0,9
Mo Lewis,72,18,0,1
Thomas Benson,71,20,0,1
Jerome Brown,71,10,0,9
Larry Brown,71,7,0,0
Chris Doleman,71,23,0,7
Richard Johnson,71,16,0,0
Clay Matthews,71,21,0,6.5
Jim Morrissey,71,18,0,0
Rod Woodson,71,11,0,1
Randy Hilliard,70,12,0,2
Kevin Porter,70,15,0,1
Scott Case,69,14,0,0
Dwayne Harper,69,11,0,0
Derrick Thomas,69,14,0,13.5
Henry Thomas,69,17,0,8
Donnell Woolford,69,4,0,1
Bob Golic,68.5,13,0,1
Darren Comeaux,68,18,0,0.5
Brad Edwards,68,17,0,0
James Francis,68,18,0,3
Wes Hopkins,68,11,0,2
Tim Krumrie,68,12,0,4
Eric Turner,68,15,0,0
Reggie White,68,10,0,15
Deron Cherry,67,12,0,0
Rickey Dixon,67,7,0,0
Thomas Everett,67,20,0,0
Mark Kelso,67,13,0,0
Ken Norton,67,14,0,0
Dennis Smith,67,15,0,0
Stephen Braggs,66,8,0,1
Cris Dishman,66,13,0,0
Byron Evans,66,14,0,0
Cortez Kennedy,66,8,0,6.5
Dan Saleaumua,66,13,0,1.5
Aeneas Williams,66,9,0,0
Greg Kragen,65,16,0,3.5
Clyde Simmons,65,16,0,13
Andre Tippett,65,24,0,8.5
Tyrone Braxton,64,12,0,1
Bryan Hinkle,64,17,0,2
Robert Blackmon,63,12,0,1
Vestee Jackson,63,8,0,0
Sean Jones,63,18,0,10
David Little,63,15,0,0
Martin Mayhew,63,3,0,0
Freddie Joe Nunn,63,11,0,7
Dennis Gibson,62,26,0,0
Bobby Harden,62,9,0,1
Henry Rolling,62,11,0,1
Jim Wahler,62,21,0,1
Michael Ball,61,16,0,1
Leo Barker,61,11,0,0
LeRoy Butler,61,8,0,0
Bryan Cox,61,10,0,2
Mike Croel,61,13,0,10
Richard Dent,61,11,0,10.5
Wymon Henderson,61,13,0,0
David Howard,61,20,0,1
Keith McCants,61,15,0,5
Kevin Ross,61,16,0,0
Jarvis Williams,61,9,0,0
Martin Bayless,60,11,0,0
Ken Clarke,60,24,0,0
Monte Coleman,60,5,0,3.5
Gary Reasons,60,18,0,0
Chris Singleton,60,19,0,1
Pat Swilling,60,10,0,17
Lawrence Taylor,60,15,0,7
Greg Townsend,60,5,0,13
Greg Jackson,59,9,0,0
J.C. Pearson,59,7,0,1
Stanley Richard,59,9,1,0
Leon Seals,59,21,0,1
Mickey Washington,59,20,0,0
Jerrol Williams,59,8,0,9
Bo Orlando,58.5,21,0,0
Mark Carrier,58,14,0,0
Rickey Jackson,58,11,0,11.5
Brett Maxie,58,15,0,0
Harlon Barnett,57,13,1,1
Don Griffin,57,10,0,0
John Roper,57,12,0,8
Johnny Meads,56.5,23,0,0
Simon Fletcher,56,7,0,13.5
Darryl Henley,56,8,0,0
Erik McMillan,56,16,0,1
Audray McMillian,56,12,0,0
Mike Reichenbach,56,14,0,0
Ricky Reynolds,56,11,0,1
Tracy Simien,56,14,0,2
Eric Thomas,56,5,0,0
J.B. Brown,55,5,0,0
Rick Bryan,55,9,0,3
Jon Hand,55,9,0,5
James Jones,55,14,0,1
Seth Joyner,55,9,0,6.5
Carl Lee,55,12,0,0
Tim Newton,55,13,0,5
Leslie O'Neal,55,5,0,9
Tony Stargell,55,9,0,0
Everson Walls,55,8,0,0.5
Brent Williams,55,26,0,3.5
Ray Bentley,54,17,0,0
Fred Marion,54,13,0,0
Roland Mitchell,54,10,0,1
William Perry,54,12,0,5.5
Lemuel Stinson,54,5,0,0
Lonnie Young,54,10,0,0
William Fuller,53.5,14,0,15
Todd Bowles,53,8,0,0
Darrell Green,53,4,0,0
Quintus McDonald,53,18,0,0
Neil Smith,53,12,0,8
Marty Carter,52,11,0,0
Nesby Glasgow,52,11,0,2.5
Sam Seale,52,5,0,0
Doug Smith,52,19,0,0.5
Donnell Thompson,52,9,0,5
Maurice Hurst,51,7,0,0
Vaughan Johnson,51,11,0,0
Lionel Washington,51,11,0,0
Harry Colon,50,18,0,0
Darion Conner,50,8,0,3.5
Burnell Dent,50,25,0,1.5
Donald Frank,50,1,0,0
Jacob Green,50,19,0,6
Kevin Greene,50,9,0,3
Burt Grossman,50,8,0,5.5
Tim McKyer,50,0,0,0
Dan Owens,50,11,0,5.5
Michael Walter,50,12,0,0
Gerald Williams,50,10,0,2
John Baylor,49,6,0,1
John Mangum,49,4,0,1
Steve McMichael,49,7,0,9
Marc Spindler,49,16,0,3.5
Keith Taylor,49,12,0,0
Jimmy Williams,49,15,0,0
David Brandon,48,12,0,3
Dennis Byrd,48,10,0,7
Tim Green,48,9,0,5
Issiac Holt,48,2,0,0
Alonzo Mitz,48,8,0,0
Kevin Murphy,48,17,0,1
John Offerdahl,48,14,0,1.5
Tyronne Stowe,48,11,0,0
Robert Williams,48,8,0,1
Carl Zander,48,10,0,0
Shaun Gayle,47,6,0,0
Patrick Hunter,47,10,0,0
Garth Jax,47,17,0,0
Markus Paul,47,8,0,0
Vinson Smith,47,9,0,0
Danny Copeland,46,6,0,0
Kirby Jackson,46,3,0,1
Jeff Lageman,46,15,0,10
Leonard Marshall,46,12,0,11
Jerry Olsavsky,46,9,0,0
Ken Tippins,46,7,0,1
Bill Bates,45,9,0,0
Jeff Bryant,45,7,0,3
Vince Buck,45,2,0,0
Eugene Daniel,45,8,0,0
Tim Goad,45,14,0,0
Charles Haley,45,5,0,7
Jerome Henderson,45,10,0,0
Jim Jeffcoat,45,8,0,4
Tony Siragusa,45,13,0,2
Alvin Wright,45,9,0,0
Tony Tolbert,44,9,0,7
T.J. Turner,44,11,0,4
Robert Young,44,11,0,1
Scott Davis,43.5,12,0,6.5
Tracy Hayworth,43,17,0,2
Tim Johnson,43,4,0,3.5
Jeff Cross,42,5,0,7
Moe Gardner,42,4,0,3
Ronnie Lippett,42,7,0,0
Najee Mustafaa,42,5,0,0
Barney Bussey,41,8,0,0
William Frizzell,41,10,0,0
Jerry Gray,41,1,0,0
Joe Kelly,41,9,0,0
Matt Millen,41,6,0,0
Frank Minnifield,41,9,0,0
Al Noga,41,9,0,3
Mike Pitts,41,13,0,2
Garin Veris,41,8,0,4
Van Waiters,41,7,0,1.5
Jim Wilks,41,11,0,2
Tony Casillas,40,9,0,2.5
Travis Davis,40,15,0,0
Darrell Fullington,40,8,0,0
Jerry Holmes,40,11,0,0
Johnnie Jackson,40,9,0,0
James Jefferson,40,2,0,1
Deion Sanders,40,2,0,1
Alfred Williams,40,4,0,3
Robert Brown,39,13,0,4
Gill Byrd,39,6,0,0
Keith DeLong,39,7,1,1
Todd Lyght,39,0,0,0
Esera Tuaolo,39,20,0,3.5
Matt Brock,38,12,0,2.5
Dave Duerson,38,10,0,0
Vencie Glenn,38,4,0,0
Reggie Jones,38,2,0,0
Mike Lodish,38,5,0,1.5
William Thomas,38,10,0,2
Eric Allen,37,3,0,0
David Grant,37,4,0,2
